scenario,gauge,pu,ewr,waterYear,startDate,endDate,eventDuration,eventLength,State,SWSDLName,Multigauge
CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,DR-VLF,1889,1889-07-01,1890-06-30,365,365,QLD,Queensland Border Rivers,
CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,DR-VLF,1890,1890-07-01,1891-06-30,365,365,QLD,Queensland Border Rivers,
CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,DR-VLF,1891,1891-07-01,1892-06-30,366,366,QLD,Queensland Border Rivers,
CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,DR-VLF,1892,1892-07-01,1893-06-30,365,365,QLD,Queensland Border Rivers,
CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,DR-VLF,1893,1893-07-01,1894-06-30,365,365,QLD,Queensland Border Rivers,
CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,DR-VLF,1894,1894-07-01,1895-06-30,365,365,QLD,Queensland Border Rivers,
CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,DR-VLF,1895,1895-07-01,1895-07-12,12,12,QLD,Queensland Border Rivers,
CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,DR-VLF,1895,1895-07-17,1895-07-21,5,5,QLD,Queensland Border Rivers,
CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,DR-VLF,1895,1895-07-28,1895-08-15,19,19,QLD,Queensland Border Rivers,
CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,DR-VLF,1895,1895-08-28,1895-09-20,24,24,QLD,Queensland Border Rivers,
CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,DR-VLF,1895,1895-10-01,1895-11-06,37,37,QLD,Queensland Border Rivers,
CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,DR-VLF,1895,1895-11-16,1896-06-30,228,228,QLD,Queensland Border Rivers,
CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,DR-VLF,1896,1896-07-01,1897-06-30,365,365,QLD,Queensland Border Rivers,
CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,DR-VLF,1897,1897-07-01,1897-07-06,6,6,QLD,Queensland Border Rivers,
