Year,eventYears,numAchieved,numEvents,numEventsAll,eventLength,eventLengthAchieved,totalEventDays,totalEventDaysAchieved,maxEventDays,maxRollingEvents,maxRollingAchievement,missingDays,totalPossibleDays,ewrCode,scenario,gauge,pu,State,SWSDLName,Multigauge,rollingMaxInterEvent,rollingMaxInterEventAchieved
1889,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1890,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1891,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1892,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1893,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1894,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1895,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1896,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1897,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1898,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1899,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1900,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1901,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1902,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1903,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1904,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1905,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1906,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1907,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1908,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1909,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1910,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1911,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1912,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1913,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1914,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1915,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1916,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1917,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1918,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1919,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1920,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1921,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1922,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1923,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1924,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1925,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1926,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1927,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1928,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1929,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1930,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1931,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1932,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1933,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1934,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1935,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1936,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1937,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1938,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1939,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1940,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1941,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1942,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1943,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1944,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1945,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1946,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1947,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1948,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1949,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1950,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1951,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1952,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1953,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1954,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1955,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1956,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1957,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1958,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1959,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1960,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1961,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1962,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1963,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1964,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1965,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1966,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1967,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1968,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1969,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1970,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1971,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1972,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1973,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1974,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1975,0,0,0,0,0.0,0.0,0,0,0,0,0,0,366,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
1976,0,0,0,0,0.0,0.0,0,0,0,0,0,0,365,FD1,CW_416011_flow_level,416011,Border Rivers and Moonie Long-term watering plan,QLD,Queensland Border Rivers,,0,1
