Date,402203_flow,402222_flow,402205_flow,402206_flow,402204_flow,403220_flow,403227_flow,403223_flow,403230_flow,403241_flow,409017_flow
2014-07-01,2960.87,3932.13,4713.43,176.56,272.21,5020.66,2627.27,6484.33,12632.75,15500.76,5078.116
2014-07-02,2263.11,3600.1,4562.3,149.96,214.52,3889.11,2007.92,4406.87,10208.87,17687.08,5078.116
2014-07-03,1822.51,2782.33,4031.73,132.53,185.86,3172.59,1648.7,3263.65,8425.9,19343.88,4923.363
2014-07-04,2149.01,2413.88,2732.37,120.92,166.34,2671.26,1394.72,2626.55,7075.86,18038.16,4529.729
2014-07-05,1828.35,2519.92,2734.38,134.67,189.4,2500.88,1342.32,2374.6,6760.75,15146.08,3487.35
2014-07-06,2094.23,2560.9,2727.04,157.62,264.73,2888.45,1585,2595.33,8121.44,12272.17,3344.2
2014-07-07,2109.23,2562.51,2959.6,138.01,188.78,2888.41,1744.94,2806.25,7869.93,10834.6,3348.618
2014-07-08,2060.1,2574.6,2681.29,132.51,161.39,2628.52,1594.01,2675.72,7228.02,10879.94,3595.661
2014-07-09,1877.4,2768.25,2763.87,195.41,287.74,2530.68,1649.21,2440.82,7050.6,10973.32,3287.928
2014-07-10,2354.53,3418.58,3453.11,271.25,504.95,3730.47,2290.14,3472.74,9744.05,10647.41,3389.127
2014-07-11,1977.65,3383.14,4204.75,254.51,307.03,4284.3,2222.6,4055.66,10466.33,10696.74,3998.796
2014-07-12,2376.88,2927.52,3891.34,295.06,341.11,4620.48,2471.26,3920.28,11127.67,11971.79,4519.162
2014-07-13,2168.54,3255.49,3621.82,267.36,255.94,4546.13,2391.42,4295.12,10955.33,13431.71,4465.965
2014-07-14,1811.78,2847.24,3538.3,252.42,214.34,4033.92,2004.2,3773.06,10085.09,14537.6,4175.44
2014-07-15,1692.29,2480.56,2946.49,263.51,233.38,3595.89,1782.9,3130.74,9237.56,15197.16,4144.176
2014-07-16,2350.83,2997.08,3418.51,299.34,629.68,4413.11,3103.95,4372.88,11435.08,15165.41,3642.898
2014-07-17,2638.66,3456.69,4380.92,340.36,430.88,5349.78,3368.41,8048.17,13479.17,14615.79,3856.962
