Scenario,Gauge,PlanningUnit,State,SWSDLName,EwrCode,Multigauge,EventYears,Frequency,TargetFrequency,AchievementCount,AchievementPerYear,EventCount,EventCountAll,EventsPerYear,EventsPerYearAll,AverageEventLength,ThresholdDays,MaxInterEventYears,NoDataDays,TotalDays
NCCMA_flow,406200,Coliban River at Reach 1,VIC,Campaspe,BF1_a_P,,0.0,0,30,0.0,0.0,0.0,9.0,0.0,0.9,6.333333333333333,57.0,0,21.0,3653.0
NCCMA_flow,406200,Coliban River at Reach 1,VIC,Campaspe,BF1_a_S,,0.0,0,30,0.0,0.0,0.0,48.0,0.0,4.8,4.25,204.0,0,21.0,3653.0
NCCMA_flow,406200,Coliban River at Reach 1,VIC,Campaspe,BF1_b_P,,0.0,0,70,0.0,0.0,0.0,11.0,0.0,1.1,5.545454545454546,61.0,0,21.0,3653.0
NCCMA_flow,406200,Coliban River at Reach 1,VIC,Campaspe,BF1_b_S,,1.0,10,70,1.0,0.1,1.0,45.0,0.1,4.5,30.711111111111112,1382.0,0,21.0,3653.0
NCCMA_flow,406200,Coliban River at Reach 1,VIC,Campaspe,BF1_c_P,,1.0,10,100,1.0,0.1,1.0,45.0,0.1,4.5,30.711111111111112,1382.0,0,21.0,3653.0
NCCMA_flow,406200,Coliban River at Reach 1,VIC,Campaspe,BF1_c_S,,9.0,90,100,9.0,0.9,9.0,10.0,0.9,1.0,150.9,1509.0,0,21.0,3653.0
NCCMA_flow,406200,Coliban River at Reach 1,VIC,Campaspe,BF2_a,,0.0,0,30,0.0,0.0,0.0,10.0,0.0,0.9090909090909091,39.8,398.0,0,21.0,3653.0
NCCMA_flow,406200,Coliban River at Reach 1,VIC,Campaspe,BF2_c_P,,0.0,0,100,0.0,0.0,0.0,10.0,0.0,0.9090909090909091,39.8,398.0,0,21.0,3653.0
NCCMA_flow,406200,Coliban River at Reach 1,VIC,Campaspe,BF2_c_S,,0.0,0,100,0.0,0.0,0.0,10.0,0.0,0.9090909090909091,41.1,411.0,0,21.0,3653.0
NCCMA_flow,406200,Coliban River at Reach 1,VIC,Campaspe,BK1_a,,0.0,0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21.0,3653.0
NCCMA_flow,406200,Coliban River at Reach 1,VIC,Campaspe,F1_P_pd,,0.0,0,100,0.0,0.0,2.0,4.0,0.2,0.4,10.25,41.0,0,21.0,3653.0
NCCMA_flow,406200,Coliban River at Reach 1,VIC,Campaspe,F1_P_sd,,0.0,0,100,0.0,0.0,3.0,4.0,0.3,0.4,10.25,41.0,0,21.0,3653.0
