Scenario,Gauge,PlanningUnit,State,SWSDLName,EwrCode,Multigauge,EventYears,Frequency,TargetFrequency,AchievementCount,AchievementPerYear,EventCount,EventCountAll,EventsPerYear,EventsPerYearAll,AverageEventLength,ThresholdDays,MaxInterEventYears,NoDataDays,TotalDays
NCCMA_flow_v1,406200,Coliban River at Reach 1,VIC,Campaspe,BF1_a_P,,0.0,0,30,0.0,0.0,0.0,9.0,0.0,0.9,6.777777777777778,61.0,0,0.0,3653.0
NCCMA_flow_v1,406200,Coliban River at Reach 1,VIC,Campaspe,BF1_a_S,,0.0,0,30,0.0,0.0,0.0,48.0,0.0,4.8,4.333333333333333,208.0,0,0.0,3653.0
NCCMA_flow_v1,406200,Coliban River at Reach 1,VIC,Campaspe,BF1_b_P,,0.0,0,70,0.0,0.0,0.0,11.0,0.0,1.1,5.909090909090909,65.0,0,0.0,3653.0
NCCMA_flow_v1,406200,Coliban River at Reach 1,VIC,Campaspe,BF1_b_S,,1.0,10,70,1.0,0.1,1.0,45.0,0.1,4.5,30.8,1386.0,0,0.0,3653.0
NCCMA_flow_v1,406200,Coliban River at Reach 1,VIC,Campaspe,BF1_c_P,,1.0,10,100,1.0,0.1,1.0,45.0,0.1,4.5,30.8,1386.0,0,0.0,3653.0
NCCMA_flow_v1,406200,Coliban River at Reach 1,VIC,Campaspe,BF1_c_S,,10.0,100,100,10.0,1.0,10.0,10.0,1.0,1.0,151.3,1513.0,0,0.0,3653.0
NCCMA_flow_v1,406200,Coliban River at Reach 1,VIC,Campaspe,BF2_a,,0.0,0,30,0.0,0.0,0.0,10.0,0.0,0.9090909090909091,41.5,415.0,0,0.0,3653.0
NCCMA_flow_v1,406200,Coliban River at Reach 1,VIC,Campaspe,BF2_c_P,,0.0,0,100,0.0,0.0,0.0,10.0,0.0,0.9090909090909091,41.5,415.0,0,0.0,3653.0
NCCMA_flow_v1,406200,Coliban River at Reach 1,VIC,Campaspe,BF2_c_S,,0.0,0,100,0.0,0.0,0.0,10.0,0.0,0.9090909090909091,42.8,428.0,0,0.0,3653.0
NCCMA_flow_v1,406200,Coliban River at Reach 1,VIC,Campaspe,BK1_a,,0.0,0,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3653.0
NCCMA_flow_v1,406200,Coliban River at Reach 1,VIC,Campaspe,F1_P_pd,,0.0,0,100,0.0,0.0,2.0,3.0,0.2,0.3,20.666666666666668,62.0,0,0.0,3653.0
NCCMA_flow_v1,406200,Coliban River at Reach 1,VIC,Campaspe,F1_P_sd,,0.0,0,100,0.0,0.0,3.0,3.0,0.3,0.3,20.666666666666668,62.0,0,0.0,3653.0
NCCMA_flow_v1,406200,Coliban River at Reach 1,VIC,Campaspe,F1_S_pd,,0.0,0,100,0.0,0.0,6.0,8.0,0.6,0.8,10.625,85.0,0,0.0,3653.0
NCCMA_flow_v1,406200,Coliban River at Reach 1,VIC,Campaspe,F1_S_sd,,0.0,0,100,0.0,0.0,6.0,8.0,0.6,0.8,10.625,85.0,0,0.0,3653.0
NCCMA_flow_v1,406200,Coliban River at Reach 1,VIC,Campaspe,F2_a_P,,2.0,18,70,3.0,0.2727272727272727,15.0,15.0,1.3636363636363635,1.3636363636363635,15.133333333333333,227.0,0,0.0,3653.0
NCCMA_flow_v1,406200,Coliban River at Reach 1,VIC,Campaspe,F2_a_S,,3.0,27,70,6.0,0.5454545454545454,15.0,15.0,1.3636363636363635,1.3636363636363635,15.133333333333333,227.0,0,0.0,3653.0
NCCMA_flow_v1,406200,Coliban River at Reach 1,VIC,Campaspe,LF1_a_P,,0.0,0,0,0.0,0.0,2.0,2.0,0.2,0.2,8.5,17.0,0,0.0,3653.0
NCCMA_flow_v1,406200,Coliban River at Reach 1,VIC,Campaspe,LF1_a_S,,2.0,20,0,2.0,0.2,2.0,2.0,0.2,0.2,8.5,17.0,0,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,BF1_a,,4.0,40,30,4.0,0.4,4.0,24.0,0.4,2.4,67.875,1629.0,0,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,BF1_b_P,,6.0,60,70,6.0,0.6,6.0,14.0,0.6,1.4,127.57142857142857,1786.0,0,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,BF1_b_S,,6.0,60,70,6.0,0.6,6.0,16.0,0.6,1.6,109.875,1758.0,0,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,BF1_c,,8.0,80,100,8.0,0.8,8.0,10.0,0.8,1.0,181.8,1818.0,0,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,BF2_a,,0.0,0,30,0.0,0.0,0.0,39.0,0.0,3.5454545454545454,18.615384615384617,726.0,0,0.0,3653.0
NCCMA_flow_v1,406201,Campaspe River at Reach 3,VIC,Campaspe,BF2_b,,1.0,9,70,1.0,0.09090909090909091,1.0,42.0,0.09090909090909091,3.8181818181818183,33.142857142857146,1392.0,0,0.0,3653.0
