Year,eventYears,numAchieved,numEvents,numEventsAll,eventLength,eventLengthAchieved,totalEventDays,totalEventDaysAchieved,maxEventDays,maxRollingEvents,maxRollingAchievement,missingDays,totalPossibleDays,ewrCode,scenario,gauge,pu,State,SWSDLName,Multigauge,rollingMaxInterEvent,rollingMaxInterEventAchieved
2016,1.0,3.0,3.0,0.0,3.25,0.0,13.0,0.0,4.0,4.0,1.0,0.0,365.0,F1_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,905,0
2017,1.0,2.0,2.0,1.0,3.0,0.0,6.0,0.0,3.0,3.0,1.0,26.0,365.0,F1_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,302,0
2018,1.0,1.0,1.0,4.0,5.0,4.0,5.0,12.0,5.0,5.0,1.0,0.0,365.0,F1_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,287,0
2019,0.0,0.0,0.0,2.0,1.0,3.0,1.0,6.0,1.0,1.0,0.0,0.0,366.0,F1_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,561,0
2020,0.0,0.0,0.0,1.0,2.0,5.0,4.0,5.0,2.0,2.0,0.0,0.0,365.0,F1_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,926,0
2021,1.0,2.0,2.0,1.0,2.0,0.0,10.0,0.0,3.0,3.0,1.0,0.0,365.0,F1_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,1138,0
2022,1.0,3.0,3.0,2.0,4.333333333333333,0.0,26.0,0.0,14.0,14.0,1.0,0.0,365.0,F1_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,292,0
2023,1.0,4.0,4.0,5.0,9.4,3.0,47.0,6.0,21.0,21.0,1.0,0.0,366.0,F1_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,275,0
2014,0.0,0.0,0.0,6.0,0.0,7.0,0.0,21.0,0.0,0.0,0.0,0.0,365.0,F1_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,365,0
2015,0.0,0.0,0.0,5.0,2.0,11.25,2.0,45.0,2.0,2.0,0.0,1.0,366.0,F1_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,731,0
2024,,,,,,,,,,,,,,F1_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,0,1
2016,0.0,0.0,0.0,1.0,28.25,125.0,113.0,125.0,89.0,89.0,0.0,0.0,365.0,BF2_S,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,213,0
2017,1.0,1.0,1.0,2.0,183.0,71.5,183.0,143.0,183.0,183.0,1.0,26.0,365.0,BF2_S,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,182,0
2018,0.0,0.0,0.0,4.0,40.25,28.25,161.0,113.0,154.0,154.0,0.0,0.0,365.0,BF2_S,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,200,0
2019,0.0,0.0,0.0,1.0,40.0,183.0,160.0,183.0,150.0,150.0,0.0,0.0,366.0,BF2_S,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,183,0
2020,0.0,0.0,0.0,4.0,91.0,40.25,182.0,161.0,157.0,157.0,0.0,0.0,365.0,BF2_S,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,182,0
2021,1.0,1.0,1.0,4.0,183.0,40.0,183.0,160.0,183.0,183.0,1.0,0.0,365.0,BF2_S,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,182,0
2022,1.0,1.0,1.0,2.0,183.0,91.0,183.0,182.0,183.0,183.0,1.0,0.0,365.0,BF2_S,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,182,0
2023,1.0,1.0,1.0,1.0,183.0,183.0,183.0,183.0,183.0,183.0,1.0,0.0,366.0,BF2_S,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,183,0
2014,0.0,0.0,0.0,1.0,125.0,183.0,125.0,183.0,125.0,125.0,0.0,1.0,335.0,BF2_S,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,210,0
2015,0.0,0.0,0.0,1.0,71.5,30.0,143.0,30.0,140.0,140.0,0.0,0.0,366.0,BF2_S,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,210,0
2024,0.0,0.0,0.0,1.0,30.0,183.0,30.0,183.0,30.0,0.0,0.0,0.0,30.0,BF2_S,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,0,1
2016,1.0,1.0,1.0,0.0,31.0,0.0,31.0,0.0,31.0,31.0,1.0,0.0,365.0,LF2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,807,0
2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,365.0,LF2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,623,0
2018,0.0,0.0,0.0,1.0,0.0,31.0,0.0,31.0,0.0,0.0,0.0,0.0,365.0,LF2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,988,0
2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,LF2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,1354,0
2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,LF2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,1719,0
2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365.0,LF2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,2084,0
2022,1.0,1.0,1.0,0.0,14.5,0.0,29.0,0.0,27.0,27.0,1.0,0.0,365.0,LF2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,2164,0
2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366.0,LF2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,624,0
2014,0.0,0.0,0.0,2.0,0.0,27.0,0.0,27.0,0.0,0.0,0.0,0.0,365.0,LF2_P_sd,NCCMA_flow,407224,Loddon River: Mid Loddon River System at Reach 4a,VIC,Loddon,,365,0
