water_year,Barwon-Darling,Border Rivers,Campaspe,Condamine-Balonne,Eastern Mt Lofty Ranges,Goulburn-Broken,Gwydir,Lachlan,Loddon,Lower Darling,Macquarie-Castlereagh,Moonie,Murray,Murrumbidgee,Namoi,Ovens,Paroo,Warrego,Wimmera-Avoca,Northern Basin ,Southern Basin ,Total MDB
1890,,,,,,,,,,,,,,,,,,,,,,
1891,,,,,,,,,,,,,,,,,,,,,,
1892,,,,,,,,,,,,,,,,,,,,,,
1893,,,,,,,,,,,,,,,,,,,,,,
1894,,,,,,,,,,,,,,,,,,,,,,
1895,,,,,,,,,,,,,,,,,,,,,,
1896,,,,,,,,,,,,,,,,,,,,,,
1897,,,,,,,,,,,,,,,,,,,,,,
1898,,,,,,,,,,,,,,,,,,,,,,
1899,,,,,,,,,,,,,,,,,,,,,,
1900,,,,,,,,,,,,,,,,,,,,,,
1901,,,,,,,,,,,,,,,,,,,,,,
1902,,,,,,,,,,,,,,,,,,,,,,
1903,,,,,,,,,,,,,,,,,,,,,,
1904,,,,,,,,,,,,,,,,,,,,,,
1905,,,,,,,,,,,,,,,,,,,,,,
1906,,,,,,,,,,,,,,,,,,,,,,
1907,,,,,,,,,,,,,,,,,,,,,,
1908,,,,,,,,,,,,,,,,,,,,,,
1909,,,,,,,,,,,,,,,,,,,,,,
1910,,,,,,,,,,,,,,,,,,,,,,
1911,Wet,Dry,Moderate,Dry,Dry,Dry,Dry,Moderate,Moderate,Wet,Moderate,Moderate,Dry,Dry,Moderate,Dry,Moderate,Moderate,Moderate,Dry,Dry,Dry
1912,Wet,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
1913,Moderate,Moderate,Moderate,Dry,Very Dry,Dry,Moderate,Dry,Dry,Moderate,Dry,Moderate,Dry,Dry,Dry,Dry,Moderate,Moderate,Moderate,Dry,Dry,Very Dry
1914,Dry,Very Dry,Very Dry,Very Dry,Very Dry,Very Dry,Very Dry,Dry,Very Dry,Dry,Very Dry,Very Dry,Very Dry,Very Dry,Very Dry,Very Dry,Dry,Very Dry,Very Dry,Very Dry,Very Dry,Very Dry
1915,Very Dry,Very Dry,Moderate,Very Dry,Wet,Moderate,Very Dry,Moderate,Moderate,Very Dry,Dry,Very Dry,Moderate,Moderate,Dry,Moderate,Very Dry,Very Dry,Wet,Very Dry,Moderate,Moderate
