site name,gauge number,owner,lat,lon
1,70830101,WA - Department of Water and Environmental Regulation,-21.22056227,116.0647218
"10 Mile Brook Dam Water Level Daily Value, South W",PI_357693.1,WA - Water Corporation,-33.963617,115.1248985
12-Apr,70811674,WA - Department of Water and Environmental Regulation,-21.57746278,117.073413
15 MILE @ GRETA STH,403213,"VIC - Department of Environment, Land, Water and Planning",-36.61945775,146.2440721
15 MILE @ WANGARATTA,403239,"VIC - Department of Environment, Land, Water and Planning",-36.36666667,146.2833333
15 MILE CK GLENROWAN,403251,"VIC - Department of Environment, Land, Water and Planning",-36.47080718,146.246199
15Lag01D,80100009,WA - Department of Water and Environmental Regulation,-18.04814699,122.5514248
15Lag01S,80100010,WA - Department of Water and Environmental Regulation,-18.04817135,122.5514245
15Lag02S,80100012,WA - Department of Water and Environmental Regulation,-18.05814718,122.6834365
15Lag03D,80100013,WA - Department of Water and Environmental Regulation,-18.06530668,122.8383307
15Lag04D,80100015,WA - Department of Water and Environmental Regulation,-18.2757981,122.7567802
15Lag06S,120500079,WA - Department of Water and Environmental Regulation,-18.48962937,121.9909899
15Lag09S,120500085,WA - Department of Water and Environmental Regulation,-18.63372324,121.8715666
15Lag11I,120500088,WA - Department of Water and Environmental Regulation,-18.59830804,121.8912247
15Lag11S,120500089,WA - Department of Water and Environmental Regulation,-18.59828299,121.8912066
15Lag13S,120500091,WA - Department of Water and Environmental Regulation,-18.65219269,122.1574098
15Lag14D,120500092,WA - Department of Water and Environmental Regulation,-18.65837084,122.2853783
15Lag15As,120500094,WA - Department of Water and Environmental Regulation,-18.96925594,121.6516124
15Lag15Bd,120500095,WA - Department of Water and Environmental Regulation,-18.98594498,121.6891851
15Lag15Bs,120500096,WA - Department of Water and Environmental Regulation,-18.98592156,121.6891781
15Lag16I,120500097,WA - Department of Water and Environmental Regulation,-18.99461181,121.7787718
15Lag16S,120500098,WA - Department of Water and Environmental Regulation,-18.99458184,121.778781
15Lag17I,120500099,WA - Department of Water and Environmental Regulation,-19.04939999,121.882157
15Lag19I,120500101,WA - Department of Water and Environmental Regulation,-19.07892986,121.6534372
15Lag19S,120500102,WA - Department of Water and Environmental Regulation,-19.07891414,121.6534434
15Lag20I,120500103,WA - Department of Water and Environmental Regulation,-19.13884604,121.7504732
15Lag20S,120500104,WA - Department of Water and Environmental Regulation,-19.13881904,121.7504787
15Lag21D,120500105,WA - Department of Water and Environmental Regulation,-19.26513792,121.5964531
15Lag21S,120500106,WA - Department of Water and Environmental Regulation,-19.26514902,121.5964919
15Lag23Ai,120500107,WA - Department of Water and Environmental Regulation,-19.33715088,122.0476105
15Lag23As,120500108,WA - Department of Water and Environmental Regulation,-19.33717889,122.0475774
