SITEID,Name,Description,AWRC,StateID
23131,Hindmarsh Island (Mundoo Barrage),BOM station - Hindmarsh Island (Mundoo Barrage),23131,5.0
23742,Tailmet,Port Elliot Caravan Park - rainfall,23742,5.0
23751,Victor Harbour comparison,Victor Harbour comparison (rain ),23751,5.0
23783,Myponga Reservoir (rain + evap),Myponga Reservoir (rain + evap),23783,5.0
24558,Milang E&Ws (rain & evap),Milang E & Ws (rain & evap),24558,5.0
24562,Wellington Pumping Station,Wellington Pumping Station (rain & evap),24562,5.0
03M_EOS,Balonne River at St George,,422201,1.0
48031,Collarenebri (Albert Street),Collarenebri (Albert Street),48031,2.0
52002,Rowena (Iffley),Rowena - IFFLEY,52002,2.0
52008,Rowena (Bunna Bunna),Rowena (Bunna Bunna),52008,2.0
52010,Weemelah (Crinolyn),Weemelah (Crinolyn),52010,2.0
52017,Garah (Bengerang),Garah (Bengerang),52017,2.0
52019,Mogil Mogil (Benimora),Mogil Mogil (Benimora),52019,2.0
52020,Mungindi Post Office,Mungindi Post Office,52020,2.0
53011,Garah Post Office,Garah Post Office,53011,2.0
53014,Gurley (Glenroy),Gurley (Glenroy),53014,2.0
53034,Wee Waa (Pendennis),Wee Waa (Pendennis),53034,2.0
53048,Moree Comparison,Moree Comparison,53048,2.0
54004,Bingara Post Office,Bingara Post Office,54004,2.0
54017,Gravesend Post Office,Gravesend Post Office,54017,2.0
54021,Barraba (Mount Lindesay),Barraba (Mount Lindesay),54021,2.0
54029,Warialda Post Office,Warialda Post Office,54029,2.0
54039,Bingara (Keera),Bingara (Keera),54039,2.0
54128,Copeton Dam,Copeton Dam,54128,2.0
10BOOBG,Lachlan River at Booberoi,Lachlan River @ Booberoi,412021,2.0
10BREWW,Lachlan River at Lake Brewster Weir,Lachlan River at Lake Brewster Weir,412048,2.0
10CANWG,Belubula River at Canowindra,,412009,2.0
10CARGW,Lachlan River at Lake Cargelligo Weir,,412011,2.0
10COWRG,Lachlan River at Cowra,,412002,2.0
10JEMAG,Lachlan River at Jemalong Weir,,412036,2.0
10NANAG,Lachlan River at Nanami,,412057,2.0
10OXLEY,Lachlan River at Oxley,,412026,2.0
10WILAN,Lachlan River u/s Willandra Weir,LACHLAN RIVER U/S WILLANDRA WEIR,412038,2.0
10WYANG,Lachlan River at �Wyangala Dam,,412010,2.0
10WYLAR,Lachlan River D/S Wyangala Dam,,412067,2.0
11BURRD,Murrumbidgee River at D/S Burrinjuck dam,MURRUMBIDGEE RIVER AT D/S BURRINJUCK DAM,410008,2.0
11GFBRU,Tumut River at Brungle Bridge,,410039,2.0
11GFCAR,Murrumbidgee River at Carrathool,,410078,2.0
11TUMOD,Tumut River at Odeys Bridge,,410073,2.0
11YANOT,Murrumbidgee River d/s Yanco weir,MURRUMBIDGEE RIVER AT DOWNSTREAM YANCO WEIR,410036,2.0
12MILE,River Murray at 12 Mile Reserve-Bankview,ALSO KNOWN AS BANKVIEW,409043,2.0
3DMARSH,Avoca Outflow from 3rd Marsh,,,4.0
404216,Broken River at Caseys Weir Head Gauge,Broken River at Goorambat,404216,4.0
405253A,Goulburn at Goulburn Weir,Goulburn Weir,405253A,4.0
407203,Loddon River at Laanecoorie,,407203,4.0
407203b,Loddon River at Laanecoorie,,407203,4.0
412029,Boorowa River at Prossers Crossing,Boorowa River at Prossers Crossing (Boorowa Prossers Xng),412029,2.0
412030,Mandagery U/S Eugowra,Mandagery Creek Upstream Eugowra (Smithfield),412030,2.0
412043,Goobang Darby's Dam,Goobang Creek at Darby's Dam,412043,2.0
412072,Back Creek @ Koorawatha,Back Creek @ Koorawatha,412072,2.0
412080,Flyers Creek at Beneree,Flyers Creek at Beneree,412080,2.0
412092,Coombing Creek Near Neville,Coombing Creek Near Neville,412092,2.0
415201B,Wimmera River at Glenochy Weir Tail Gauge,,415201B,4.0
415203D,Mount William Creek at Lake Lonsdale (Tail Gauge),,415203,4.0
415214C,Fyans Creek at Lake Bellfield,,415214C,4.0
415251A,Mackenzie River at Mckenzie Creek,,415251,4.0
418005,Copes Creek at Kimberley,Copes Creek at Kimberley,418005,2.0
418015,Horton River @ Rider (Killara),Horton River @ Rider (Killara),408015,2.0
418016,Warialda at Warialda,Warialda at Warialda,418016,2.0
418017,Myall at Molroy,Myall at Molroy,418017,2.0
418018,Keera Creek at Keera,Keera Creek at Keera,418018,2.0
418021,Laura at Laura,Laura at Laura,418021,2.0
418022,Georges Creek at Clerkness,Georges at Clerkness,418022,2.0
418023,Moredun Creek at Bundarra,Moredun Creek at Bundarra,418023,2.0
418025,Halls Creek at Bingara,Halls Creek at Bingara,418025,2.0
418029,Gwydir at Stonybatter,Gwydir at Stonybatter,418029,2.0
418032,Tycannah at Horseshoe,Tycannah at Horseshoe,418032,2.0
418033,Bakers Creek at Bundarra,Bakers Creek at Bundarra,418033,2.0
4190050,Namoi River at North Cuerindi,,419005,2.0
419012,Namoi River at Boggabri,Namoi River at Boggabri,419012,2.0
419020,Manilla River at Brabri (Merriwee),,419020,2.0
419022,Namoi River at Manilla railway Bridge,,419022,2.0
4190510,Maules Creek at Avoca East,,419051,2.0
419068,Namoi river D/S Weeta weir,,419068,2.0
422016_,Narran River at Wilby Wilby (Belvedere),,422016,2.0
422203A,Balonne River at Barrackdale,Balonne River at Barrackdale,422203,1.0
422325A,Condamine River @ Cotswold,,422325,1.0
422350A,Oakey Creek @ Fairview,,422350,1.0
422395A,Sandy Creek @ Leslie Dam Tailwater,,422395,1.0
422401,Maranoa River @ Mitchell,,422401,1.0
422404A,Maranoa River @ Cashmere,,422404,1.0
422407C,Maranoa River @ Forestvale,,422407,1.0
423003_,Warrego River @ Barringun,,423003,2.0
423201A,Warrego River @ Charleville,,423201A,1.0
423202C,Warrego River @ Cunnamulla,,423202C,1.0
423203A,Warrego River @ Wyandra,,423203,
423204_,Warrego River @ Augathella,,423204,
424002_,Paroo River @ Willara Crossing,,424002,
4261125,Wellington @ Top Surface,,,5.0
5ASHFDG,Severn River @ Ashford,,416006,1.0
5BONSHW,Dumaresq River @ Bonshaw Weir,,416007,1.0
5BOOMWG,Macintyre River @ Boomi Weir,,416043,1.0
5BOONAL,Macintyre River @ Boonal,,416038,1.0
5DAMSTG,Macintyre River @ Dam Site,,416018,1.0
5FFARNG,Dumaresq River @ Farnbro,,416310,1.0
5FGOONG,Moonie River @ Nindigully,,416201A,1.0
5FMAURG,Dumaresq River @ Mauro,,416049,1.0
5FMINGG,Dumaresq River @ Mingoola No3,,416014,1.0
5FTERRG,Macintyre River @ Terrewah,,416047,1.0
5FWALLG,Macintyre River @ Wallangra,,416010,1.0
5GIFR03,Severn River @ Strathbogie,,416039,1.0
5HOLDFG,Macintyre River @ Holdfast (Yelarbon Crossing),,416012,1.0
5KANWNG,Macintyre River @ Kanowna,,416048,1.0
5NEEWRG,Boomi River @ Neeworra,,416028,1.0
5PINDAG,Severn River d/s Pindari,,416019,1.0
5ROSEN2,Dumaresq River @ Roseneath,,416011,1.0
5TALWDG,Weir River @ Talwood,,416202A,1.0
6BUNDAG,Gwydir River @ Bundarra,,418008,
6CAMURG,Gwydir River @ Camurra,,418007,
6COPETN,Gwydir River @ Copeton Dam storage gauge,,418035,
6FPINEG,Gwydir River @ Pinegrove,,418012,2.0
6GALLGF,Gil Gil Creek @ Galloway,,416052,1.0
6GILGIL,Gil Gil Creek @ Weemelah,,416027,1.0
6ON7CHN,Flow from 6/7 Channel to Little Murray,,,
6ON7FPO,6 on 7 Channel flows with FP Weir open,Fish Point Weir Open,,4.0
6STONYG,Gwydir River @ Stonybatter,,418029,
6USCOMG,Mehi River D/S of Combadello weir,,418037,2.0
6USMEHI,Gwydir River U/S of Mehi Offtake,,418006,2.0
717OESC,7/1/7 Outfall,,,4.0
7BUGILB,Namoi River @ Bugilbone (Riverview),,419021,2.0
7CARGPG,Peel River @Carrol Gap,,419006,2.0
7CHAFDH,Peel River D/S Chaffey Dam,,419045,2.0
7CHAFDI,Peel River @Chaffey Dam - Storage Gauge,,419069,2.0
7DSGUGF,Combined flow downstream Gunidgera Split,,419059,2.0
7KEEPGF,Namoi River D/S Keepit Dam,,419007,2.0
7KEEPIT,Namoi River @ Keepit Dam - Storage Gauge,,419041,2.0
7PARDWG,Peel River @ Paradise Weir,,419024,2.0
7PIALMG,Peel River @ Piallamore,,419015,2.0
7SPLTRD,Manill River @ Split Rock Dam Storage gauge,,419080,
7TARPOL,Manilla River @ D/S Split Rock Dam,,419043,2.0
8BENCHD,Campbells River @ U/S Ben Chifley Dam,,421101,
8BROOMG,Bogan River @ Broomfield,,421069,
8EOSMAR,Marra Creek @ Billybingbone Bridge,,421107,2.0
8FGBATH,Macquarie River @ Bathurst Post Q.Charlottes Div,,421007,
8FGRWHL,Cudgegong River @ Rocky Water Hole,,421149,
8FGYAMB,Cudgegong River @ Yamble Bridge,,421019,2.0
8FNPGBR,Bogan River @ Neurie Plains,,421039,
8GFBRUI,Macquarie River @ Bruinbun,,421025,
8GFDSBD,Macquarie River D/S Burrendong Dam,,421040,
8GFDXLP,Macquarie River @ Dixons Long Point,,421080,
8GFUSBD,Macquarie River @ Burendong Dam - Storage Gauge,,421078,
8GIFR06,Bogan River @ Peak Hill,,421076,
8GIFR1C,Cudgegong River @ Wilbertree Road,,421150,2.0
8MAERGF,Macquarie River D/S Marebone Weir,,421090,2.0
8MENCAI,Castlereagh River @ Mendooran,,420004,
8MFWIND,Cudgegong River D/S Windamere Dam,,421079,
8WARREN,Macquarie River @ Warren Weir,,421004,2.0
8WINDAD,Cudgegong River @ Windamere Dam-Storage Gauge,,421148,
ACT,ACT - Australian Capital Territory,ACT - Australian Capital Territory,,3.0
ACTBG,Diversions from Lake Burley Griffins,controlled by AG,,3.0
ACTGWE,ACT Groundwater Extractions,,,3.0
ACTLBG,Lake Burley Griffin - ACT,ACT -Lake Burley Griffin - Controlled by CG,,3.0
ACTPD,ACT Private Surface Water Irrigation Diversion,ACT Private Surface Water Irrigation Diversion,,3.0
ADASTP,Adaminaby STP,,,2.0
ADE2MET,Adelaide Kent town Met Stn,Located at the Met Bureau (80 degrees 2.2km from GPO),23090,5.0
ADELMET,Adelaide (Airport) Met Stn,Located at Adelaide Airport,23034,5.0
ADELNTH,North Adelaide Met Station - Pooraka PO,,23026,5.0
ADESTP,Adelong STP,,,2.0
ALBERT,Lake Albert average value,"Levels are 5 day average of Meningie, Waltowa Swamp and Warringee Point",200,
ALBERTP,Lake Albert Pumps,Pumps from Lake Alexandrina to Lake Albert,,2.0
ALBSTW,Albury Sewage T W Discharge,DISCHARGE FROM HORSESHOE LAGOON,,2.0
ALBSTW2,Albury STW - Outflow From Pond 2,,,2.0
ALBURY,River Murray at Albury,,409001,2.0
ALEX10M,,,,5.0
ALEX13M,,,,5.0
ALEXM1M,,,,5.0
ALEXM4M,,,,5.0
ALEXM7M,,,,5.0
ALGPLAN,Algeboia Plain,Millewa monitoring site,,
ALGROAD,Algeboia Road,Millewa monitoring site,,
ALLANSF,Yackandandah Creek @ Allans Flat,,402202,4.0
ALLINFS,Murray System Inflows,Murray System Inflows including inflow to Menindee Lakes,,2.0
ALLSNET,All inflows except Snowy and IVT and Env component,Inflows excluding Snowy and excluding IVT and managed E flow componenets of other tribs,,
ALXB101,Lake Alexandrina @ Beacon 101 (Pomanda Point),,A4261130,5.0
ALXB95,Lake Alexandrina West Point McLeay-Beacon 95,Lake Alexandrina West Point McLeay (Star Beacon 95),A4261156,5.0
ALXB97,Lake Alexandrina at Beacon 97 (Offshore Raukkan),Lake Alexandrina at Beacon 97 (Offshore Raukkan),A4261133,5.0
ALXBC12,Goolwa Channel @ Beacon 12 (Adjacent Reedy Island,Goolwa Channel at Beacon 12 (Adjacent Reedy Island),A4261036,5.0
ALXBC20,Goolwa Channel 200m US Goolwa Brg (Port Beacon 20),Goolwa Channel 200m us Goolwa Brg (Port Beacon 20),A4261122,5.0
ALXBC23,Goolwa Channel @ Signal Point (Beacon 23),Goolwa Channel at Signal Point (Beacon 23),A4261123,5.0
ALXPOM,Lake Alexandrina 4km West Pomanda Point,Lake Alexandrina 4km West Pomanda Point,A4261158,5.0
ALXSTP,Alexandra STP,,,4.0
ALXWCLA,Goolwa Channel 2km West Clayton (Starboard Beacon,Goolwa Channel 2km West Clayton (Starboard Beacon 65),A4261124,5.0
ANABRAN,Darling Anabranch near Murray Junction,,,2.0
ANABRCH,Anabranch - Lower Darling River System,Anabranch Supplies - Lower Darling River System,,2.0
ANAOFFT,GREAT DARLING ANABRANCH AT OFFTAKE,GREAT DARLING ANABRANCH AT OFFTAKE,425050,2.0
ANAOUT,Anabranch Outflow (ML/d),Anabranch Outflow (ML/d),,2.0
ANAOVER,Overflow from Darling to Anabranch (ML/d),Overflow from Darling to Anabranch (ML/d),,2.0
ANAPIPE,Anabranch Pipeline Supply from Darling,Piped Stock and Domestic Supply to Darling Anabranch from the Lower Darling,,
ANAPIPM,Anabranch Piped Supply from River Murray,Piped Stock and Domestic Supply to Darling Anabranch from the River Murray,,
ANGANGP,Angas River at Angas Plains,,A4260629,5.0
ANGASCK,Angas,,,
ANGBALR,Angas River @ Ballandown Road,Angas River at Ballandown Road,A4261073,5.0
ANGCHER,Angas River @ Cheriton Road,Angas River at Cheriton Road,A4261074,5.0
ANGWEIR,Angas River @ Angas Weir,,4260503,
ANMEFF,EFFLUENT FROM ANM MILL ALBURY,,,2.0
AOPCEWH,All Other Purposes CEWH,All Other Purposes Commonwealth Environmental Water Holder,,
AOPOTHR,All Other Purposes Other Env. Ent,All Other Purposes Other Environment Entitlements,,
AOPTLM,All Other Purposes TLM,All Other Purposes Total Living Murray,,
16LAV05,Loddon River @ Appin South,,407205,4.0
APPIN,Loddon River @ Appin South,,407205,4.0
APPINSC,Appin South Community Dr,Appin South Community Dr at Forest Lane,407756,4.0
ASHESC,11/4 Ashwin,,,4.0
ASHSTP,Ashford STP,,,2.0
ATKHRDS,Atkinsons Regulator D/S,Millewa monitoring site,,
ATKINS,Atkinsons River Regulator,River Regulator settings - Edward River - NSW National Parks,,2.0
AVOCA,Flow From Avoca To Channel 7,AVOCA FLOODWAY AT MYSTIC PARK,,4.0
AVOCBGO,Avoca to Channel 7 plus Lake Boga Outflow,Avoca to Channel 7 plus Lake Boga Outflow,,4.0
AVOQUAM,Avoca River at Quambatook (Victoria),Avoca River at Quambatook,408203,4.0
BACKBAR,Back Baroogo Rd Drain - landholding E919,"Back Baroogo Rd Drain in landholding E919, South Boundry.",409092,2.0
BACKFLO,to be delected - yan,yan is testing to add it into bsis from wamm,,1.0
BALAK06,Lake Balaka Sample Site 6,See WRC Menindee Lakes Storages map,42510006,2.0
6BALLBG,Mehi River @ u/s Ballin Boora Creek,Mehi River @ u/s Ballin Boora Creek,418068,2.0
BALBOOR,Mehi River @ u/s Ballin Boora Creek,Mehi River @ u/s Ballin Boora Creek,418068,2.0
BALFLOR,Murrumbidgee River @ Balranald,Murrumbidgee River - Balranald,410003,2.0
BALLBOR,Ballandool River @ Border,,,
BALOJAC,Jack Taylor dam on Balonne river,,,4.0
BALONBD,Balonne River @ Beardmore Dam,,,1.0
11FGBLW,Murrumbidgee River D/S Balranald,,410130,2.0
BALRMET,Balranald (Til Til),,,2.0
BAMAWM,Bamawm Main Drain @ Dargons Bridge,,406750,4.0
BANDIAN,Kiewa River @ Bandiana,Sample at Killara,402205A,4.0
BANNACH,"Bannacher Creek, near Appin, VIC",,,
BARBCK,Barbers Creek River Regulator U/S Forest Side,New South Wales Regulators - Koondrook-Perricoota Forest,,2.0
BARBCKP,Barbers Creek Pool Upstream Regulator,New South Wales Regulators - Koondrook-Perricoota Forest,409113,
BARBOVR,Barbers Overflow River Regulator U/S Forest Side,New South Wales Regulators - Koondrook-Perricoota Forest,,2.0
BARHAM,River Murray @ Barham,,409005,4.0
BARHCUT,Barham Cutting River Regulator,Gunbower Forest - VIC National Parks,,4.0
BARHMET,Barham Police Met Station,Meteorological,75003,4.0
