planning_unit_name,gauge,ewr_code,ewr_code_timing,state,LTWPShortName,env_obj,Target,SWSDLName
Carole Creek,418052,BF1,BF1_a,NSW,Gwydir,EF1,Priority ecosystem function,Gwydir
Carole Creek,418052,BF1,BF1_b,NSW,Gwydir,EF1,Priority ecosystem function,Gwydir
Carole Creek,418052,BF1,BF1_a,NSW,Gwydir,EF2,Priority ecosystem function,Gwydir
Carole Creek,418052,BF1,BF1_b,NSW,Gwydir,EF2,Priority ecosystem function,Gwydir
Carole Creek,418052,BF1,BF1_a,NSW,Gwydir,EF3a,Priority ecosystem function,Gwydir
Carole Creek,418052,BF1,BF1_b,NSW,Gwydir,EF3a,Priority ecosystem function,Gwydir
Carole Creek,418052,BF1,BF1_a,NSW,Gwydir,NF1,Native fish,Gwydir
Carole Creek,418052,BF1,BF1_b,NSW,Gwydir,NF1,Native fish,Gwydir
Carole Creek,418052,BF1,BF1_a,NSW,Gwydir,NF2,Native fish,Gwydir
Carole Creek,418052,BF1,BF1_b,NSW,Gwydir,NF2,Native fish,Gwydir
Carole Creek,418052,BF1,BF1_a,NSW,Gwydir,NF3,Native fish,Gwydir
Carole Creek,418052,BF1,BF1_b,NSW,Gwydir,NF3,Native fish,Gwydir
Carole Creek,418052,BF1,BF1_a,NSW,Gwydir,NF4,Native fish,Gwydir
Carole Creek,418052,BF1,BF1_b,NSW,Gwydir,NF4,Native fish,Gwydir
Carole Creek,418052,BF1,BF1_a,NSW,Gwydir,NF5,Native fish,Gwydir
Carole Creek,418052,BF1,BF1_b,NSW,Gwydir,NF5,Native fish,Gwydir
Carole Creek,418052,BF1,BF1_a,NSW,Gwydir,NF6,Native fish,Gwydir
Carole Creek,418052,BF1,BF1_b,NSW,Gwydir,NF6,Native fish,Gwydir
Carole Creek,418052,BF1,BF1_a,NSW,Gwydir,NF7,Native fish,Gwydir
Carole Creek,418052,BF1,BF1_b,NSW,Gwydir,NF7,Native fish,Gwydir
Cudgegong Regulated River,421019,CF,CF,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Cudgegong Regulated River,421019,VF,VF,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Cudgegong Regulated River,421019,BF1,BF1_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Cudgegong Regulated River,421019,BF2,BF2_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Cudgegong Regulated River,421019,BF3,BF3,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Cudgegong Regulated River,421019,DSF,DSF,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Cudgegong Regulated River,421019,SF1,SF1_S,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Cudgegong Regulated River,421019,SF1,SF1_P,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Cudgegong Regulated River,421019,BF2,BF2_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Cudgegong Regulated River,421019,BF1,BF1_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Burrendong Dam to Baroona,421001,CF,CF,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Burrendong Dam to Baroona,421127,VF,VF,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Burrendong Dam to Baroona,421001,BF1,BF1_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Burrendong Dam to Baroona,421001,BF1,BF1_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Burrendong Dam to Baroona,421001,BF2,BF2_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Burrendong Dam to Baroona,421001,BF2,BF2_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Burrendong Dam to Baroona,421001,BF3,BF3,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Burrendong Dam to Baroona,421001,DSF,DSF,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Burrendong Dam to Baroona,421001,SF1,SF1,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Baroona to Warren Weir,421004,CF,CF,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Baroona to Warren Weir,421004,VF,VF,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Baroona to Warren Weir,421004,BF1,BF1_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Baroona to Warren Weir,421004,BF1,BF1_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Baroona to Warren Weir,421004,BF2,BF2_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Baroona to Warren Weir,421004,BF2,BF2_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Baroona to Warren Weir,421004,BF3,BF3,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Baroona to Warren Weir,421004,DSF,DSF,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Baroona to Warren Weir,421004,SF1,SF1,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Warren Weir to Macquarie Marshes,421090,CF,CF,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Warren Weir to Macquarie Marshes,421090,VF,VF,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Warren Weir to Macquarie Marshes,421090,BF1,BF1_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Warren Weir to Macquarie Marshes,421090,BF1,BF1_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Warren Weir to Macquarie Marshes,421090,BF2,BF2_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Warren Weir to Macquarie Marshes,421090,BF2,BF2_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Warren Weir to Macquarie Marshes,421090,BF3,BF3,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Warren Weir to Macquarie Marshes,421090,DSF,DSF,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Warren Weir to Macquarie Marshes,421090,SF1,SF1_S,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Warren Weir to Macquarie Marshes,421090,SF1,SF1_P,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Warren Weir to Macquarie Marshes,421090,OB-WS4,OB-WS4,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421022,CF,CF_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421022,CF,CF_c,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421022,VF,VF_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421022,BF1,BF1_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421022,BF1,BF1_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421022,BF2,BF2_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421022,BF2,BF2_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421022,BF3,BF3,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421022,DSF,DSF,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421022,SF1,SF1_P,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421022,SF1,SF1_S,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421022,CF,CF_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421022,VF,VF_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421090,CF,CF_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421090,CF,CF_c,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421090,VF,VF_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421090,BF1,BF1_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421090,BF1,BF1_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421090,BF2,BF2_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421090,BF2,BF2_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421090,BF3,BF3,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421090,DSF,DSF,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421090,SF1,SF1_P,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421090,SF1,SF1_S,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421090,CF,CF_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421090,VF,VF_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421090,OB-WS1,OB-WS1_P,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421090,OB-WS1,OB-WS1_S,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421090,OB-WS1,OB-WS1_P,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Eastern Macquarie Marshes,421090,OB-WS1,OB-WS1_S,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421090,OB-WS4,OB-WS4_P,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Southern Macquarie Marshes,421090,OB-WS4,OB-WS4_S,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Lower Macquarie River,421012,CF,CF_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Lower Macquarie River,421012,CF,CF_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Lower Macquarie River,421012,CF,CF_c,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Lower Macquarie River,421012,VF,VF_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Lower Macquarie River,421012,VF,VF_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Lower Macquarie River,421012,BF1,BF1_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Lower Macquarie River,421012,BF1,BF1_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Lower Macquarie River,421012,BF2,BF2_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Lower Macquarie River,421012,BF2,BF2_b,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Lower Macquarie River,421012,SF1,SF1,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Lower Macquarie River,421012,SF3,SF3,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Lower Macquarie River,421012,OB-WS4,OB-WS4,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Lower Bogan River and Effluent Creeks,421023,CF,CF,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Lower Bogan River and Effluent Creeks,421023,VF,VF,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Lower Bogan River and Effluent Creeks,421023,BF1,BF1,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Lower Bogan River and Effluent Creeks,421023,BF2,BF2,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Lower Bogan River and Effluent Creeks,421023,BF3,BF3,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Lower Bogan River and Effluent Creeks,421023,DSF,DSF,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Lower Bogan River and Effluent Creeks,421023,SF1,SF1_S,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Lower Bogan River and Effluent Creeks,421023,SF1,SF1_P,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Lower Bogan River and Effluent Creeks,421023,SF3,SF3,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Lower Bogan River and Effluent Creeks,421023,OB-WS4,OB-WS4,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
Marthaguy Creek,421011,CF,CF_a,NSW,Macquarie-Castlereagh,EF1,Priority ecosystem function,Macquarie-Castlereagh
