PlanningUnitName,LTWPShortName,gauge,Code,relevant
Mungindi to Boomi River Confluence,Barwon-Darling,416001,CF_a,1
Mungindi to Boomi River Confluence,Barwon-Darling,416001,CF_b,0
Mungindi to Boomi River Confluence,Barwon-Darling,416001,CF_c,0
Mungindi to Boomi River Confluence,Barwon-Darling,416001,VF_a,0
Mungindi to Boomi River Confluence,Barwon-Darling,416001,VF_b,1
Mungindi to Boomi River Confluence,Barwon-Darling,416001,BF1_a,1
Mungindi to Boomi River Confluence,Barwon-Darling,416001,BF1_b,0
Mungindi to Boomi River Confluence,Barwon-Darling,416001,BF2_a,1
Mungindi to Boomi River Confluence,Barwon-Darling,416001,BF2_b,1
Mungindi to Boomi River Confluence,Barwon-Darling,416001,SF1_S,0
Mungindi to Boomi River Confluence,Barwon-Darling,416001,SF1_P,1
Mungindi to Boomi River Confluence,Barwon-Darling,416001,SF2,0
Mungindi to Boomi River Confluence,Barwon-Darling,416001,LF1_S,1
Mungindi to Boomi River Confluence,Barwon-Darling,416001,LF1_P,0
Mungindi to Boomi River Confluence,Barwon-Darling,416001,LF2,
Mungindi to Boomi River Confluence,Barwon-Darling,416001,BK1,1
Mungindi to Boomi River Confluence,Barwon-Darling,416001,OB1,0
Mungindi to Boomi River Confluence,Barwon-Darling,416001,OB2,0
Mungindi to Boomi River Confluence,Barwon-Darling,416001,OB3,0
Mungindi to Boomi River Confluence,Barwon-Darling,416050,CF_a,1
Mungindi to Boomi River Confluence,Barwon-Darling,416050,CF_b,1
Mungindi to Boomi River Confluence,Barwon-Darling,416050,CF_c,1
Mungindi to Boomi River Confluence,Barwon-Darling,416050,VF_a,1
Mungindi to Boomi River Confluence,Barwon-Darling,416050,VF_b,
Mungindi to Boomi River Confluence,Barwon-Darling,416050,BF1_a,0
Mungindi to Boomi River Confluence,Barwon-Darling,416050,BF1_b,1
Mungindi to Boomi River Confluence,Barwon-Darling,416050,BF2_a,0
Mungindi to Boomi River Confluence,Barwon-Darling,416050,BF2_b,1
Mungindi to Boomi River Confluence,Barwon-Darling,416050,SF1_S,0
Mungindi to Boomi River Confluence,Barwon-Darling,416050,SF1_P,1
Mungindi to Boomi River Confluence,Barwon-Darling,416050,SF2,1
Mungindi to Boomi River Confluence,Barwon-Darling,416050,LF1_S,0
Mungindi to Boomi River Confluence,Barwon-Darling,416050,LF1_P,
Mungindi to Boomi River Confluence,Barwon-Darling,416050,LF2,0
Mungindi to Boomi River Confluence,Barwon-Darling,416050,BK1,1
Mungindi to Boomi River Confluence,Barwon-Darling,416050,OB1,1
Mungindi to Boomi River Confluence,Barwon-Darling,416050,OB2,1
Mungindi to Boomi River Confluence,Barwon-Darling,416050,OB3,1
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,422004,CF_a,1
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,422004,CF_b,0
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,422004,CF_c,1
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,422004,VF_a,0
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,422004,VF_b,1
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,422004,BF1_a,0
Boomi River Confluence to Upstream Mogil Mogil Weir Pool,Barwon-Darling,422004,BF1_b,1
