planning_unit_name,LTWPShortName,gauge,ewr_code_timing,Target,priority
Carole Creek,Gwydir,418052,BF1_a,Ecosystem Function,2
Carole Creek,Gwydir,418052,BF1_b,Ecosystem Function,2
Carole Creek,Gwydir,418052,BF1_a,Native fish,2
Carole Creek,Gwydir,418052,BF1_b,Native fish,2
Cudgegong Regulated River,Macquarie-Castlereagh,421019,CF,Ecosystem Function,2
Cudgegong Regulated River,Macquarie-Castlereagh,421019,VF,Ecosystem Function,2
Cudgegong Regulated River,Macquarie-Castlereagh,421019,BF1_a,Ecosystem Function,2
Cudgegong Regulated River,Macquarie-Castlereagh,421019,BF2_a,Ecosystem Function,2
Cudgegong Regulated River,Macquarie-Castlereagh,421019,BF3,Ecosystem Function,2
Cudgegong Regulated River,Macquarie-Castlereagh,421019,DSF,Ecosystem Function,2
Cudgegong Regulated River,Macquarie-Castlereagh,421019,SF1_S,Ecosystem Function,2
Cudgegong Regulated River,Macquarie-Castlereagh,421019,SF1_P,Ecosystem Function,2
Cudgegong Regulated River,Macquarie-Castlereagh,421019,BF2_b,Ecosystem Function,2
Cudgegong Regulated River,Macquarie-Castlereagh,421019,BF1_b,Ecosystem Function,2
Burrendong Dam to Baroona,Macquarie-Castlereagh,421001,CF,Ecosystem Function,2
Burrendong Dam to Baroona,Macquarie-Castlereagh,421127,VF,Ecosystem Function,2
Burrendong Dam to Baroona,Macquarie-Castlereagh,421001,BF1_a,Ecosystem Function,2
Burrendong Dam to Baroona,Macquarie-Castlereagh,421001,BF1_b,Ecosystem Function,2
Burrendong Dam to Baroona,Macquarie-Castlereagh,421001,BF2_a,Ecosystem Function,2
Burrendong Dam to Baroona,Macquarie-Castlereagh,421001,BF2_b,Ecosystem Function,2
Burrendong Dam to Baroona,Macquarie-Castlereagh,421001,BF3,Ecosystem Function,2
Burrendong Dam to Baroona,Macquarie-Castlereagh,421001,DSF,Ecosystem Function,2
Burrendong Dam to Baroona,Macquarie-Castlereagh,421001,SF1,Ecosystem Function,2
Baroona to Warren Weir,Macquarie-Castlereagh,421004,CF,Ecosystem Function,2
Baroona to Warren Weir,Macquarie-Castlereagh,421004,VF,Ecosystem Function,2
Baroona to Warren Weir,Macquarie-Castlereagh,421004,BF1_a,Ecosystem Function,2
Baroona to Warren Weir,Macquarie-Castlereagh,421004,BF1_b,Ecosystem Function,2
Baroona to Warren Weir,Macquarie-Castlereagh,421004,BF2_a,Ecosystem Function,2
Baroona to Warren Weir,Macquarie-Castlereagh,421004,BF2_b,Ecosystem Function,2
Baroona to Warren Weir,Macquarie-Castlereagh,421004,BF3,Ecosystem Function,2
Baroona to Warren Weir,Macquarie-Castlereagh,421004,DSF,Ecosystem Function,2
Baroona to Warren Weir,Macquarie-Castlereagh,421004,SF1,Ecosystem Function,2
Warren Weir to Macquarie Marshes,Macquarie-Castlereagh,421090,CF,Ecosystem Function,2
Warren Weir to Macquarie Marshes,Macquarie-Castlereagh,421090,VF,Ecosystem Function,2
Warren Weir to Macquarie Marshes,Macquarie-Castlereagh,421090,BF1_a,Ecosystem Function,2
Warren Weir to Macquarie Marshes,Macquarie-Castlereagh,421090,BF1_b,Ecosystem Function,2
Warren Weir to Macquarie Marshes,Macquarie-Castlereagh,421090,BF2_a,Ecosystem Function,2
Warren Weir to Macquarie Marshes,Macquarie-Castlereagh,421090,BF2_b,Ecosystem Function,2
Warren Weir to Macquarie Marshes,Macquarie-Castlereagh,421090,BF3,Ecosystem Function,2
Warren Weir to Macquarie Marshes,Macquarie-Castlereagh,421090,DSF,Ecosystem Function,2
Warren Weir to Macquarie Marshes,Macquarie-Castlereagh,421090,SF1_S,Ecosystem Function,2
Warren Weir to Macquarie Marshes,Macquarie-Castlereagh,421090,SF1_P,Ecosystem Function,2
Warren Weir to Macquarie Marshes,Macquarie-Castlereagh,421090,OB-WS4,Ecosystem Function,2
Southern Macquarie Marshes,Macquarie-Castlereagh,421022,CF_a,Ecosystem Function,2
Southern Macquarie Marshes,Macquarie-Castlereagh,421022,CF_c,Ecosystem Function,2
Southern Macquarie Marshes,Macquarie-Castlereagh,421022,VF_a,Ecosystem Function,2
Southern Macquarie Marshes,Macquarie-Castlereagh,421022,BF1_a,Ecosystem Function,2
Southern Macquarie Marshes,Macquarie-Castlereagh,421022,BF1_b,Ecosystem Function,2
Southern Macquarie Marshes,Macquarie-Castlereagh,421022,BF2_a,Ecosystem Function,2
Southern Macquarie Marshes,Macquarie-Castlereagh,421022,BF2_b,Ecosystem Function,2
Southern Macquarie Marshes,Macquarie-Castlereagh,421022,BF3,Ecosystem Function,2
Southern Macquarie Marshes,Macquarie-Castlereagh,421022,DSF,Ecosystem Function,2
Southern Macquarie Marshes,Macquarie-Castlereagh,421022,SF1_P,Ecosystem Function,2
Southern Macquarie Marshes,Macquarie-Castlereagh,421022,SF1_S,Ecosystem Function,2
