planning_unit_name,LTWPShortName,env_obj,Objective,Target,state,SWSDLName
Campaspe River at Reach 2,Campaspe River EWMP,1,Maintain/Increase River Red Gum,Native Vegetation,VIC,Campaspe
Campaspe River at Reach 2,Campaspe River EWMP,2.3,Increase extent/maintain instream aquatic plants,Native Vegetation,VIC,Campaspe
Campaspe River at Reach 3,Campaspe River EWMP,1,Maintain/Increase River Red Gum,Native Vegetation,VIC,Campaspe
Campaspe River at Reach 3,Campaspe River EWMP,2.3,Increase extent/maintain instream aquatic plants,Native Vegetation,VIC,Campaspe
Campaspe River at Reach 4,Campaspe River EWMP,1,Maintain/Increase River Red Gum,Native Vegetation,VIC,Campaspe
Campaspe River at Reach 4,Campaspe River EWMP,2.3,Increase extent/maintain instream aquatic plants,Native Vegetation,VIC,Campaspe
Reach 1: Lake Eildon to Yea River,Goulburn River 2015,6,Macroinvertebrates,Ecosystem Function,VIC,Goulburn
Reach 1: Lake Eildon to Yea River,Goulburn River 2015,4,Geomorphology (Natural channel form and dynamics),Ecosystem Function,VIC,Goulburn
Reach 1: Lake Eildon to Yea River,Goulburn River 2015,5,Geomorphology (Increase instream physical habitat diversity),Ecosystem Function,VIC,Goulburn
Reach 1: Lake Eildon to Yea River,Goulburn River 2015,6,Stream Metabolism,Ecosystem Function,VIC,Goulburn
Reach 2: Yea River to Sunday Creek (Seymour),Goulburn River 2015,6,Macroinvertebrates,Ecosystem Function,VIC,Goulburn
Reach 2: Yea River to Sunday Creek (Seymour),Goulburn River 2015,4,Geomorphology (Natural channel form and dynamics),Ecosystem Function,VIC,Goulburn
Reach 2: Yea River to Sunday Creek (Seymour),Goulburn River 2015,5,Geomorphology (Increase instream physical habitat diversity),Ecosystem Function,VIC,Goulburn
Reach 2: Yea River to Sunday Creek (Seymour),Goulburn River 2015,6,Stream Metabolism,Ecosystem Function,VIC,Goulburn
Reach 3: Sunday Creek (Seymour) to Goulburn Weir,Goulburn River 2015,6,Macroinvertebrates,Ecosystem Function,VIC,Goulburn
Reach 3: Sunday Creek (Seymour) to Goulburn Weir,Goulburn River 2015,4,Geomorphology (Natural channel form and dynamics),Ecosystem Function,VIC,Goulburn
Reach 3: Sunday Creek (Seymour) to Goulburn Weir,Goulburn River 2015,5,Geomorphology (Increase instream physical habitat diversity),Ecosystem Function,VIC,Goulburn
Reach 3: Sunday Creek (Seymour) to Goulburn Weir,Goulburn River 2015,6,Stream Metabolism,Ecosystem Function,VIC,Goulburn
Reach 4: Nagambie (downstream of Goulburn Weir) to Loch Garry,Goulburn River 2015,6,Macroinvertebrates,Ecosystem Function,VIC,Goulburn
Reach 4: Nagambie (downstream of Goulburn Weir) to Loch Garry,Goulburn River 2015,4,Geomorphology (Natural channel form and dynamics),Ecosystem Function,VIC,Goulburn
Reach 4: Nagambie (downstream of Goulburn Weir) to Loch Garry,Goulburn River 2015,5,Geomorphology (Increase instream physical habitat diversity),Ecosystem Function,VIC,Goulburn
Reach 4: Nagambie (downstream of Goulburn Weir) to Loch Garry,Goulburn River 2015,6,Stream Metabolism,Ecosystem Function,VIC,Goulburn
Reach 5: Loch Garry to the Murray River,Goulburn River 2015,6,Macroinvertebrates,Ecosystem Function,VIC,Goulburn
Reach 5: Loch Garry to the Murray River,Goulburn River 2015,4,Geomorphology (Natural channel form and dynamics),Ecosystem Function,VIC,Goulburn
Reach 5: Loch Garry to the Murray River,Goulburn River 2015,5,Geomorphology (Increase instream physical habitat diversity),Ecosystem Function,VIC,Goulburn
Reach 5: Loch Garry to the Murray River,Goulburn River 2015,6,Stream Metabolism,Ecosystem Function,VIC,Goulburn
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,EF1,Provide & protect a diversity of refugia across the landscape,Ecosystem Function,NSW,NSW Border Rivers
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,EF3a,"Create quality instream, floodplain and wetland habitat",Ecosystem Function,NSW,NSW Border Rivers
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,EF3a,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats within catchments,Ecosystem Function,NSW,NSW Border Rivers
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,EF3a,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats between catchments,Ecosystem Function,NSW,NSW Border Rivers
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,EF4,Support instream & floodplain productivity,Ecosystem Function,NSW,NSW Border Rivers
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,EF6,Support groundwater conditions to sustain groundwater dependent biota,Ecosystem Function,NSW,NSW Border Rivers
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,EF5,"Support nutrient, carbon & sediment transport along channels, & between channels & floodplains/ wetlands",Ecosystem Function,NSW,NSW Border Rivers
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,EF7,Increase the contribution of flows into the Murray and Barwon Darling from tributaries,Ecosystem Function,NSW,NSW Border Rivers
Macintyre River floodplain upstream of Boomi River,NSW Border Rivers,EF7,Increase the contribution of flows into the South Australian lower Murray River,Ecosystem Function,NSW,NSW Border Rivers
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,EF1,Provide & protect a diversity of refugia across the landscape,Ecosystem Function,NSW,NSW Border Rivers
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,EF3a,"Create quality instream, floodplain and wetland habitat",Ecosystem Function,NSW,NSW Border Rivers
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,EF3a,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats within catchments,Ecosystem Function,NSW,NSW Border Rivers
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,EF4,Support instream & floodplain productivity,Ecosystem Function,NSW,NSW Border Rivers
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,EF6,Support groundwater conditions to sustain groundwater dependent biota,Ecosystem Function,NSW,NSW Border Rivers
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,EF7,Increase the contribution of flows into the Murray and Barwon Darling from tributaries,Ecosystem Function,NSW,NSW Border Rivers
Confluence of Macintyre River and Dumaresq River,NSW Border Rivers,EF5,"Support nutrient, carbon & sediment transport along channels, & between channels & floodplains/ wetlands",Ecosystem Function,NSW,NSW Border Rivers
Central Lower Gwydir,Gwydir,EF1,Provide & protect a diversity of refugia across the landscape,Ecosystem Function,NSW,Gwydir
Central Lower Gwydir,Gwydir,EF2,"Create quality instream, floodplain & wetland habitat",Ecosystem Function,NSW,Gwydir
Central Lower Gwydir,Gwydir,EF3a,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats within catchments,Ecosystem Function,NSW,Gwydir
Central Lower Gwydir,Gwydir,EF6,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats between catchments,Ecosystem Function,NSW,Gwydir
Central Lower Gwydir,Gwydir,EF4,Support instream & floodplain productivity,Ecosystem Function,NSW,Gwydir
Central Lower Gwydir,Gwydir,EF5,"Support nutrient, carbon & sediment transport along channels, & between channels & floodplains/ wetlands",Ecosystem Function,NSW,Gwydir
Central Lower Gwydir,Gwydir,EF6,Support groundwater conditions to sustain groundwater dependent biota,Ecosystem Function,NSW,Gwydir
Central Lower Gwydir,Gwydir,EF7,Increase the contribution of flows into the Barwon-Darling from tributaries,Ecosystem Function,NSW,Gwydir
Goonal Creek,Gwydir,EF1,Provide & protect a diversity of refugia across the landscape,Ecosystem Function,NSW,Gwydir
Goonal Creek,Gwydir,EF2,"Create quality instream, floodplain & wetland habitat",Ecosystem Function,NSW,Gwydir
Goonal Creek,Gwydir,EF3a,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats within catchments,Ecosystem Function,NSW,Gwydir
Goonal Creek,Gwydir,EF6,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats between catchments,Ecosystem Function,NSW,Gwydir
Goonal Creek,Gwydir,EF4,Support instream & floodplain productivity,Ecosystem Function,NSW,Gwydir
Goonal Creek,Gwydir,EF5,"Support nutrient, carbon & sediment transport along channels, & between channels & floodplains/ wetlands",Ecosystem Function,NSW,Gwydir
Goonal Creek,Gwydir,EF6,Support groundwater conditions to sustain groundwater dependent biota,Ecosystem Function,NSW,Gwydir
Goonal Creek,Gwydir,EF7,Increase the contribution of flows into the Barwon-Darling from tributaries,Ecosystem Function,NSW,Gwydir
Gwydir downstream of Copeton,Gwydir,EF1,Provide & protect a diversity of refugia across the landscape,Ecosystem Function,NSW,Gwydir
Gwydir downstream of Copeton,Gwydir,EF2,"Create quality instream, floodplain & wetland habitat",Ecosystem Function,NSW,Gwydir
Gwydir downstream of Copeton,Gwydir,EF3a,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats within catchments,Ecosystem Function,NSW,Gwydir
Gwydir downstream of Copeton,Gwydir,EF6,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats between catchments,Ecosystem Function,NSW,Gwydir
Gwydir downstream of Copeton,Gwydir,EF4,Support instream & floodplain productivity,Ecosystem Function,NSW,Gwydir
Gwydir downstream of Copeton,Gwydir,EF5,"Support nutrient, carbon & sediment transport along channels, & between channels & floodplains/ wetlands",Ecosystem Function,NSW,Gwydir
Gwydir downstream of Copeton,Gwydir,EF6,Support groundwater conditions to sustain groundwater dependent biota,Ecosystem Function,NSW,Gwydir
Gwydir downstream of Copeton,Gwydir,EF7,Increase the contribution of flows into the Barwon-Darling from tributaries,Ecosystem Function,NSW,Gwydir
Lower Gingham,Gwydir,EF1,Provide & protect a diversity of refugia across the landscape,Ecosystem Function,NSW,Gwydir
Lower Gingham,Gwydir,EF2,"Create quality instream, floodplain & wetland habitat",Ecosystem Function,NSW,Gwydir
Lower Gingham,Gwydir,EF3a,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats within catchments,Ecosystem Function,NSW,Gwydir
Lower Gingham,Gwydir,EF6,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats between catchments,Ecosystem Function,NSW,Gwydir
Lower Gingham,Gwydir,EF4,Support instream & floodplain productivity,Ecosystem Function,NSW,Gwydir
Lower Gingham,Gwydir,EF5,"Support nutrient, carbon & sediment transport along channels, & between channels & floodplains/ wetlands",Ecosystem Function,NSW,Gwydir
Lower Gingham,Gwydir,EF6,Support groundwater conditions to sustain groundwater dependent biota,Ecosystem Function,NSW,Gwydir
Lower Gingham,Gwydir,EF7,Increase the contribution of flows into the Barwon-Darling from tributaries,Ecosystem Function,NSW,Gwydir
Lower Gwydir,Gwydir,EF1,Provide & protect a diversity of refugia across the landscape,Ecosystem Function,NSW,Gwydir
Lower Gwydir,Gwydir,EF2,"Create quality instream, floodplain & wetland habitat",Ecosystem Function,NSW,Gwydir
Lower Gwydir,Gwydir,EF3a,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats within catchments,Ecosystem Function,NSW,Gwydir
Lower Gwydir,Gwydir,EF6,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats between catchments,Ecosystem Function,NSW,Gwydir
Lower Gwydir,Gwydir,EF4,Support instream & floodplain productivity,Ecosystem Function,NSW,Gwydir
Lower Gwydir,Gwydir,EF5,"Support nutrient, carbon & sediment transport along channels, & between channels & floodplains/ wetlands",Ecosystem Function,NSW,Gwydir
Lower Gwydir,Gwydir,EF6,Support groundwater conditions to sustain groundwater dependent biota,Ecosystem Function,NSW,Gwydir
Lower Gwydir,Gwydir,EF7,Increase the contribution of flows into the Barwon-Darling from tributaries,Ecosystem Function,NSW,Gwydir
Main Gwydir River,Gwydir,EF1,Provide & protect a diversity of refugia across the landscape,Ecosystem Function,NSW,Gwydir
Main Gwydir River,Gwydir,EF2,"Create quality instream, floodplain & wetland habitat",Ecosystem Function,NSW,Gwydir
Main Gwydir River,Gwydir,EF3a,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats within catchments,Ecosystem Function,NSW,Gwydir
Main Gwydir River,Gwydir,EF6,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats between catchments,Ecosystem Function,NSW,Gwydir
Main Gwydir River,Gwydir,EF4,Support instream & floodplain productivity,Ecosystem Function,NSW,Gwydir
Main Gwydir River,Gwydir,EF5,"Support nutrient, carbon & sediment transport along channels, & between channels & floodplains/ wetlands",Ecosystem Function,NSW,Gwydir
Main Gwydir River,Gwydir,EF6,Support groundwater conditions to sustain groundwater dependent biota,Ecosystem Function,NSW,Gwydir
Main Gwydir River,Gwydir,EF7,Increase the contribution of flows into the Barwon-Darling from tributaries,Ecosystem Function,NSW,Gwydir
Tarren Creek,Gwydir,EF1,Provide & protect a diversity of refugia across the landscape,Ecosystem Function,NSW,Gwydir
Tarren Creek,Gwydir,EF2,"Create quality instream, floodplain & wetland habitat",Ecosystem Function,NSW,Gwydir
Tarren Creek,Gwydir,EF3a,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats within catchments,Ecosystem Function,NSW,Gwydir
Tarren Creek,Gwydir,EF6,Provide movement and dispersal opportunities for water dependent biota to complete lifecycles and disperse into new habitats between catchments,Ecosystem Function,NSW,Gwydir
Tarren Creek,Gwydir,EF4,Support instream & floodplain productivity,Ecosystem Function,NSW,Gwydir
Tarren Creek,Gwydir,EF5,"Support nutrient, carbon & sediment transport along channels, & between channels & floodplains/ wetlands",Ecosystem Function,NSW,Gwydir
Tarren Creek,Gwydir,EF6,Support groundwater conditions to sustain groundwater dependent biota,Ecosystem Function,NSW,Gwydir
Tarren Creek,Gwydir,EF7,Increase the contribution of flows into the Barwon-Darling from tributaries,Ecosystem Function,NSW,Gwydir
