LTWPShortName,env_obj,Objective,Target,state,SWSDLName
Campaspe River EWMP,V-1,Maintain or Increase River Red Gum: To maintain adult River Red Gum trees and facilitate successful recruitment,Native Vegetation,Vic,Campaspe
Campaspe River EWMP,V-2,"Increase native fish: To increase the population size, with an appropriate age structure of small and large bodied native fish known to occur in the Campaspe River. E.g. Golden Perch, Murray Cod and Murray Darling Rainbowfish",Native Fish,Vic,Campaspe
Campaspe River EWMP,V-2.1,Maintain or increase diversity and productivity of macroinvertebrates and macroinvertebrate functional feeding groups,Ecosystem Functions,Vic,Campaspe
Campaspe River EWMP,V-2.2,"Increase extent or maintain emergent littoral macrophytes (e.g. Phragmites, rushes, reeds and sedges) on benches and edges of channel, but limit their encroachment into the middle of the channel",Native Vegetation,Vic,Campaspe
Campaspe River EWMP,V-2.3,"Increase extent or maintain instream aquatic plants (e.g. Water Ribbons, Eel Grass)",Native Vegetation,Vic,Campaspe
Campaspe River EWMP,V-2.4,Control salinity and stratification in deep pools,Ecosystem Functions,Vic,Campaspe
Campaspe River EWMP,V-3,"Facilitate recolonisation by native fish species that have been presumed lost e.g. Trout Cod, River Blackfish and Macquarie Perch.",Native Fish,Vic,Campaspe
Campaspe River EWMP,V-4,Platypus - Maintain or increase resident breeding population by facilitating successful recruitment at least every second year and promote safe dispersal by juveniles,Other species,Vic,Campaspe
Campaspe River EWMP,V-5,Maintain or Improve connectivity between the Campaspe River reaches and between the Campaspe River and the Murray River,Ecoystem Functions,Vic,Campaspe
Coliban River EWMP,V-F1,"Increase abundance and diversity of opportunistic small-bodied native fish such as Australian Smelt, Flat-headed Gudgeon and Mountain Galaxias.",Native Fish,Vic,Campaspe
Coliban River EWMP,V-F2,Provide habitat and flow conditions that will allow River Blackfish to reestablish,Native Fish,Vic,Campaspe
Coliban River EWMP,V-P1,Provide conditions that consistently support widespread successful breeding of Platypus to increase its resilience to future drought and floods and to provide surplus juveniles that can disperse to and colonise other suitable waterways,Other Species,Vic,Campaspe
Coliban River EWMP,V-V1,"Maintain and increase cover and diversity of instream aquatics such as Triglochin procerum, Myriophyllum varrifolium and Potamogeton spp.",Native Vegetation,Vic,Campaspe
Coliban River EWMP,V-V2,"Maintain and increase abundance and diversity of emergent fringing vegetation such as Phragmites, Juncus and Bolboschoenus on benches and edges of channel, but limit their encroachment into the middle of the channel",Native Vegetation,Vic,Campaspe
Coliban River EWMP,V-V3,"Maintain adult riparian woody vegetation (e.g. River Red Gum, Callistemon sieberi, Leptospermum lanigerum, and Acacia provincialis) and facilitate recruitment",Native Vegetation,Vic,Campaspe
Coliban River EWMP,V-WQ1,Maintain water quality that is able to support aquatic biota and ecological processes,Ecosystem Functions,Vic,Campaspe
