PlanningUnitID,PlanningUnitName,LTWPShortName,CompliancePoint/Node,Gauge,Code,StartMonth,EndMonth,TargetFrequency,TargetFrequencyMin,TargetFrequencyMax,EventsPerYear,Duration,MinSpell,FlowThresholdMin,FlowThresholdMax,MaxInter-event,WithinEventGapTolerance,WeirpoolGauge,FlowLevelVolume,LevelThresholdMin,LevelThresholdMax,VolumeThreshold,DrawdownRate,AccumulationPeriod,Multigauge,MaxSpell,TriggerDay,TriggerMonth,DrawDownRateWeek,MaxLevelChange,AnnualBarrageFlow,ThreeYearsBarrageFlow,HighReleaseWindowStart,HighReleaseWindowEnd,LowReleaseWindowStart,LowReleaseWindowEnd,PeakLevelWindowStart,PeakLevelWindowEnd,LowLevelWindowStart,LowLevelWindowEnd,NonFlowSpell,EggsDaysSpell,LarvaeDaysSpell,RateOfRiseMax1,RateOfRiseMax2,RateOfFallMin,RateOfRiseThreshold1,RateOfRiseThreshold2,RateOfRiseRiverLevel,RateOfFallRiverLevel,CtfThreshold,GaugeType,State,Catchment_BPRegion,SWSDLName,Latitude,Longitude,Env_obj
PU_2600004,Lower Balonne,Condamine and Balonne,Narran River at Wilby Wilby,422016,BBR1_a,7,6,,,,1,90,90,100,1000000,4,,422034,V,,1.08,154000,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,-29.4457,147.5289,Q-WB2+Q-WB3
PU_2600004,Lower Balonne,Condamine and Balonne,Narran River at Wilby Wilby,422016,BBR1_b,7,6,,,,1,10,10,100,1000000,4,,422034,V,,1.08,20000,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,-29.4457,147.5289,Q-WB2+Q-WB3
PU_2600004,Lower Balonne,Condamine and Balonne,Narran River at Wilby Wilby,422016,BBR2,7,6,76,,,1,1,1,0,1000000,,,,V,,,25000,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,-29.4457,147.5289,Q-WB3+Q-NV1
PU_2600002,Mid Condamine,Condamine and Balonne,Balonne River at Weribone,422213A,BF-FD1,7,6,,,,1,1,1,5,,0.7,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,,,
PU_2600003,Maranoa,Condamine and Balonne,Maranoa River at Cashmere,422404A,BF-FD1,7,6,,,,1,1,1,5,,1.0,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,,,
PU_2600002,Mid Condamine,Condamine and Balonne,Condamine River at Cotswold,422325A,BF-FD1,7,6,,,,1,1,1,5,,0.7,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,,,
PU_2600001,Upper Condamine,Condamine and Balonne,Condamine River at Bedarra,422344A,BF-FD1,7,6,,,,1,1,1,5,,0.7,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,,,
PU_2600001,Upper Condamine,Condamine and Balonne,the Condamine River at Brigalow,422336A,BF-FD1,7,6,,,,1,1,1,5,,0.7,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,,,
PU_2600001,Upper Condamine,Condamine and Balonne,Condamine River at Cecil Weir,422316A,BF-FD1,7,6,,,,1,1,1,5,,0.7,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,,,
PU_2600001,Upper Condamine,Condamine and Balonne,Oakey Creek at Fairview,422350A,BF-FD1,7,6,,,,1,1,1,5,,0.7,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,,,
PU_2600004,Lower Balonne,Condamine and Balonne,Culgoa River at Brenda,422015,BF-FD1,7,6,,,,1,1,1,5,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,-29.029613,147.313464,
PU_2600004,Lower Balonne,Condamine and Balonne,Briarie Creek at Wollerbilla-Hebel Road,422211A,BF-FD1,7,6,,,,1,1,1,5,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,-28.90811667,147.6888667,
PU_2600004,Lower Balonne,Condamine and Balonne,Ballandool River at Hebel Bollon Road,422207A,BF-FD1,7,6,,,,1,1,1,5,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,-28.93765,147.7523667,
PU_2600004,Lower Balonne,Condamine and Balonne,Bokhara River at Hebel,422209A,BF-FD1,7,6,,,,1,1,1,5,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,-28.9694,147.7973,
PU_2600004,Lower Balonne,Condamine and Balonne,Narran River at Angledool 2,422030,BF-FD1,7,6,,,,1,1,1,5,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,-29.11489063,147.8940384,
PU_2400001,Border Rivers,Border Rivers and Moonie,Dumaresq River at Roseneath,416011,BF-FD2,7,6,,,,1,1,1,5,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Border Rivers,Queensland Border Rivers,-29.1155,151.4584,
PU_2400001,Border Rivers,Border Rivers and Moonie,Macintyre River at Kanowna,416048,BF-FD2,7,6,,,,1,1,1,5,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Border Rivers,Queensland Border Rivers,-28.6961,149.388,
PU_2700001,Nebine Creek,Warrego Paroo Bulloo Nebine,Nebine Creek at Roseleigh Crossing,422502A,BF-FD2,7,6,,,,1,1,1,2,,1.5,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Nebine,-28.92255556,146.87775,
PU_2900001,Paroo River,Warrego Paroo Bulloo Nebine,Paroo River at Caiwarro,424201A,BF-FD2,7,6,,,,1,1,1,2,,1.5,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Paroo,Paroo,-28.68951667,144.7862833,
PU_2800002,Cuttaburra Creek,Warrego Paroo Bulloo Nebine,Cuttaburra Creek at Turra,423005,BF-FD2,7,6,,,,1,1,1,2,,1.5,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Warrego,Warrego,-29.0573,145.4089,
PU_2800001,Warrego River,Warrego Paroo Bulloo Nebine,Warrego River at Barringun 2,423004,BF-FD2,7,6,,,,1,1,1,2,,1.5,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Warrego,Warrego,-29.0874,145.7719,
PU_2400001,Border Rivers,Border Rivers and Moonie,Barwon River at Mungundi,416001,BF-FD2,7,6,,,,1,1,1,5,,1,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Border Rivers,Queensland Border Rivers,,,
