PlanningUnitID,PlanningUnitName,LTWPShortName,CompliancePoint/Node,Gauge,Code,StartMonth,EndMonth,TargetFrequency,TargetFrequencyMin,TargetFrequencyMax,EventsPerYear,Duration,MinSpell,FlowThresholdMin,FlowThresholdMax,MaxInter-event,WithinEventGapTolerance,WeirpoolGauge,FlowLevelVolume,LevelThresholdMin,LevelThresholdMax,VolumeThreshold,DrawdownRate,AccumulationPeriod,Multigauge,MaxSpell,TriggerDay,TriggerMonth,DrawDownRateWeek,MaxLevelChange,AnnualBarrageFlow,ThreeYearsBarrageFlow,HighReleaseWindowStart,HighReleaseWindowEnd,LowReleaseWindowStart,LowReleaseWindowEnd,PeakLevelWindowStart,PeakLevelWindowEnd,LowLevelWindowStart,LowLevelWindowEnd,NonFlowSpell,EggsDaysSpell,LarvaeDaysSpell,RateOfRiseMax1,RateOfRiseMax2,RateOfFallMin,RateOfRiseThreshold1,RateOfRiseThreshold2,RateOfRiseRiverLevel,RateOfFallRiverLevel,CtfThreshold,GaugeType,State,Catchment_BPRegion,SWSDLName,Latitude,Longitude,Env_obj,FlowRegime
PU_2600004,Lower Balonne,Condamine and Balonne,Narran River at Wilby Wilby,422016,BBR1_a,7,6,,,,1,90.0,90.0,100.0,1000000.0,4.0,,422034.0,V,,1.08,154000.0,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,-29.4457,147.5289,Q-WB2+Q-WB3,Overbank/wetland inundation
PU_2600004,Lower Balonne,Condamine and Balonne,Narran River at Wilby Wilby,422016,BBR1_b,7,6,,,,1,10.0,10.0,100.0,1000000.0,4.0,,422034.0,V,,1.08,20000.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,-29.4457,147.5289,Q-WB2+Q-WB3,Overbank/wetland inundation
PU_2600004,Lower Balonne,Condamine and Balonne,Narran River at Wilby Wilby,422016,BBR2,7,6,76.0,,,1,1.0,1.0,0.0,1000000.0,,,,V,,,25000.0,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,-29.4457,147.5289,Q-WB3+Q-NV1,Overbank/wetland inundation
PU_2600002,Mid Condamine,Condamine and Balonne,Balonne River at Weribone,422213A,BF-FD1,7,6,,,,1,1.0,1.0,5.0,,0.7,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,,,,excluded
PU_2600003,Maranoa,Condamine and Balonne,Maranoa River at Cashmere,422404A,BF-FD1,7,6,,,,1,1.0,1.0,5.0,,1.0,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,,,,excluded
PU_2600002,Mid Condamine,Condamine and Balonne,Condamine River at Cotswold,422325A,BF-FD1,7,6,,,,1,1.0,1.0,5.0,,0.7,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,,,,excluded
PU_2600001,Upper Condamine,Condamine and Balonne,Condamine River at Bedarra,422344A,BF-FD1,7,6,,,,1,1.0,1.0,5.0,,0.7,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,,,,excluded
PU_2600001,Upper Condamine,Condamine and Balonne,the Condamine River at Brigalow,422336A,BF-FD1,7,6,,,,1,1.0,1.0,5.0,,0.7,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,,,,excluded
PU_2600001,Upper Condamine,Condamine and Balonne,Condamine River at Cecil Weir,422316A,BF-FD1,7,6,,,,1,1.0,1.0,5.0,,0.7,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,,,,excluded
PU_2600001,Upper Condamine,Condamine and Balonne,Oakey Creek at Fairview,422350A,BF-FD1,7,6,,,,1,1.0,1.0,5.0,,0.7,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,,,,excluded
PU_2600004,Lower Balonne,Condamine and Balonne,Culgoa River at Brenda,422015,BF-FD1,7,6,,,,1,1.0,1.0,5.0,,1.0,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,-29.029613,147.313464,,excluded
PU_2600004,Lower Balonne,Condamine and Balonne,Briarie Creek at Wollerbilla-Hebel Road,422211A,BF-FD1,7,6,,,,1,1.0,1.0,5.0,,1.0,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,-28.90811667,147.6888667,,excluded
PU_2600004,Lower Balonne,Condamine and Balonne,Ballandool River at Hebel Bollon Road,422207A,BF-FD1,7,6,,,,1,1.0,1.0,5.0,,1.0,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,-28.93765,147.7523667,,excluded
PU_2600004,Lower Balonne,Condamine and Balonne,Bokhara River at Hebel,422209A,BF-FD1,7,6,,,,1,1.0,1.0,5.0,,1.0,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,QLD,Condamine-Balonne,Condamine-Balonne,-28.9694,147.7973,,excluded
