PlanningUnitID,PlanningUnitName,LTWPShortName,CompliancePoint/Node,Gauge,Code,StartMonth,EndMonth,TargetFrequency,TargetFrequencyMin,TargetFrequencyMax,EventsPerYear,Duration,MinSpell,FlowThresholdMin,FlowThresholdMax,MaxInter-event,WithinEventGapTolerance,WeirpoolGauge,FlowLevelVolume,LevelThresholdMin,LevelThresholdMax,VolumeThreshold,DrawdownRate,AccumulationPeriod,Multigauge,MaxSpell,TriggerDay,TriggerMonth,DrawDownRateWeek,MaxLevelChange,AnnualBarrageFlow,ThreeYearsBarrageFlow,HighReleaseWindowStart,HighReleaseWindowEnd,LowReleaseWindowStart,LowReleaseWindowEnd,PeakLevelWindowStart,PeakLevelWindowEnd,LowLevelWindowStart,LowLevelWindowEnd,NonFlowSpell,EggsDaysSpell,LarvaeDaysSpell,RateOfRiseMax1,RateOfRiseMax2,RateOfFallMin,RateOfRiseThreshold1,RateOfRiseThreshold2,RateOfRiseRiverLevel,RateOfFallRiverLevel,CtfThreshold,GaugeType,State,Catchment_BPRegion,SWSDLName,Latitude,Longitude,EnvObj
PU_0000020,Birchs Creek Reach 2,Birch Creek EWMP,BIRCH CREEK @ NEWLYN RESERVOIR (TAIL GAUGE),407249,BF1_a,12,5,70,,,1,140,1,5,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-P1+V-P2+V-S1+V-S2+V-S3+V-S4+V-S6
PU_0000020,Birchs Creek Reach 2,Birch Creek EWMP,BIRCH CREEK @ NEWLYN RESERVOIR (TAIL GAUGE),407249,BF1_c,12,5,100,,,1,140,1,2,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-P1+V-P2+V-S1+V-S2+V-S3+V-S4+V-S6
PU_0000020,Birchs Creek Reach 2,Birch Creek EWMP,BIRCH CREEK @ NEWLYN RESERVOIR (TAIL GAUGE),407249,BF2_a,4,11,70,,,1,202,1,9,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-P1+V-P2+V-S1+V-S2+V-S3+V-S4+V-S6+V-S7
PU_0000020,Birchs Creek Reach 2,Birch Creek EWMP,BIRCH CREEK @ NEWLYN RESERVOIR (TAIL GAUGE),407249,BF2_c,4,11,100,,,1,202,1,5,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-P1+V-P2+V-S1+V-S2+V-S3+V-S4+V-S6+V-S7
PU_0000020,Birchs Creek Reach 2,Birch Creek EWMP,BIRCH CREEK @ NEWLYN RESERVOIR (TAIL GAUGE),407249,F1_a,12,3,70,,,4,3,3,14,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-P1+V-P2+V-S1+V-S2+V-S3+V-S4+V-S6
PU_0000020,Birchs Creek Reach 2,Birch Creek EWMP,BIRCH CREEK @ NEWLYN RESERVOIR (TAIL GAUGE),407249,F1_c,12,3,100,,,1,3,3,14,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-P1+V-P2+V-S1+V-S2+V-S3+V-S4+V-S6
PU_0000020,Birchs Creek Reach 2,Birch Creek EWMP,BIRCH CREEK @ NEWLYN RESERVOIR (TAIL GAUGE),407249,F2_a,6,11,70,,,4,5,5,27,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-P1+V-P2+V-S1+V-S2+V-S3+V-S4+V-S6+V-S7
PU_0000020,Birchs Creek Reach 2,Birch Creek EWMP,BIRCH CREEK @ NEWLYN RESERVOIR (TAIL GAUGE),407249,F2_c,6,11,100,,,1,3,3,27,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-P1+V-P2+V-S1+V-S2+V-S3+V-S4+V-S6+V-S7
PU_0000020,Birchs Creek Reach 2,Birch Creek EWMP,BIRCH CREEK @ NEWLYN RESERVOIR (TAIL GAUGE),407249,LF1,6,11,70,,,3,3,3,248,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Loddon,,,V-P1+V-P2+V-S1+V-S2+V-S3+V-S4+V-S5+V-S6+V-S7
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,BF1_a,12,5,30,,,1,122,1,45,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-2+V-2.1+V-2.2+V-2.3+V-2.4+V-4
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,BF1_b,12,5,70,,,1,122,1,27,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-2+V-2.1+V-2.2+V-2.3+V-2.4+V-4
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,BF1_c,12,5,100,,,1,122,1,9,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-2+V-2.1+V-2.2+V-2.3+V-2.4+V-4
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,BF2_a,6,11,30,,,1,122,1,180,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-2+V-2.1+V-2.2+V-2.3+V-4
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,BF2_b,6,11,70,,,1,122,1,90,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-2+V-2.1+V-2.2+V-2.3+V-4
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,BF2_c,6,11,100,,,1,122,1,45,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-2+V-2.1+V-2.2+V-2.3+V-4
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,BK1,7,6,,,,1,2,2,8000,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-1+V-2+V-3+V-5
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,CF1_a,1,4,0,,,1,1,1,0,0,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,CF1_b,1,4,0,,,1,1,1,0,0,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,CF1_c,1,4,0,,,1,1,1,0,0,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,
PU_0000166,Campaspe River,Campaspe River EWMP,Campaspe Weir Model Node,406201,F1_a,12,5,30,,,3,2,2,125,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,VIC,,Campaspe,,,V-2+V-2.1+V-2.2+V-3
