PlanningUnitID,PlanningUnitName,LTWPShortName,CompliancePoint/Node,Gauge,Code,StartMonth,EndMonth,TargetFrequency,TargetFrequencyMin,TargetFrequencyMax,EventsPerYear,Duration,MinSpell,FlowThresholdMin_100,FlowThresholdMin_100,FlowThresholdMax,MaxInter-event,WithinEventGapTolerance,WeirpoolGauge,FlowLevelVolume,LevelThresholdMin,LevelThresholdMax,VolumeThreshold,DrawdownRate,AccumulationPeriod,Multigauge,MaxSpell,TriggerDay,TriggerMonth,DrawDownRateWeek,MaxLevelRise,AnnualFlowSum,AnnualBarrageFlow,ThreeYearsBarrageFlow,HighReleaseWindowStart,HighReleaseWindowEnd,LowReleaseWindowStart,LowReleaseWindowEnd,PeakLevelWindowStart,PeakLevelWindowEnd,LowLevelWindowStart,LowLevelWindowEnd,NonFlowSpell,EggsDaysSpell,LarvaeDaysSpell,MinLevelRise,RateOfRiseMax1,RateOfRiseMax2,RateOfFallMin,RateOfRiseThreshold1,RateOfRiseThreshold2,RateOfRiseRiverLevel,RateOfFallRiverLevel,CtfThreshold,GaugeType,State,Catchment_BPRegion,SWSDLName,Latitude,Longitude,Env_obj
SS300001,Kiewa river reach 1 - Upper Kiewa River,Kiewa FLOWs study 2008,,402203,BF1,12,5,100,,,1,182,1,259,259,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-P1+V-F2+V-F5a+V-M1+V-V7
SS300001,Kiewa river reach 1 - Upper Kiewa River,Kiewa FLOWs study 2008,,402203,OB1,7,11,100,,,1,1,1,8122,8122,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-V1
SS300001,Kiewa river reach 1 - Upper Kiewa River,Kiewa FLOWs study 2008,,402203,F1,7,6,100,,,1,1,1,6480,6480,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-P5
SS300001,Kiewa river reach 1 - Upper Kiewa River,Kiewa FLOWs study 2008,,402203,OB2,7,6,100,,,1,1,1,8122,8122,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-P6+V-P2+V-F2
SS300001,Kiewa river reach 1 - Upper Kiewa River,Kiewa FLOWs study 2008,,402203,OB3,7,6,5,,,1,1,1,30240,30240,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,P3
SS300002,Kiewa river reach 2 - Middle Kiewa River,Kiewa FLOWs study 2008,,402222,BF1,12,5,100,,,1,182,1,346,277,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-P1+V-F1a+V-F1c+V-F2+V-F4b+V-M1+V-M2
SS300002,Kiewa river reach 2 - Middle Kiewa River,Kiewa FLOWs study 2008,,402222,F1,12,4,100,,,1,7,7,605,605,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-V2
SS300002,Kiewa river reach 2 - Middle Kiewa River,Kiewa FLOWs study 2008,,402222,BF2,6,11,100,,,1,183,1,1184,947,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-P4+V-P7+V-F1b+V-V2
SS300002,Kiewa river reach 2 - Middle Kiewa River,Kiewa FLOWs study 2008,,402222,F3,7,9,100,,,2,3,3,3888,3888,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-V1
SS300002,Kiewa river reach 2 - Middle Kiewa River,Kiewa FLOWs study 2008,,402222,F4,7,6,100,,,4,4,4,1728,1728,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,Vic,Kiewa,Kiewa,,,V-P2+V-F2+V-P3+V-P5
