,PlanningUnitID,PlanningUnitName,LTWPShortName,CompliancePoint/Node,Gauge,Code,StartMonth,EndMonth,TargetFrequency,TargetFrequencyMin,TargetFrequencyMax,EventsPerYear,Duration,MinSpell,FlowThresholdMin,FlowThresholdMax,MaxInter-event,WithinEventGapTolerance,WeirpoolGauge,FlowLevelVolume,LevelThresholdMin,LevelThresholdMax,VolumeThreshold,DrawdownRate,AccumulationPeriod,Multigauge,MaxSpell,TriggerDay,TriggerMonth,DrawDownRateWeek,MaxLevelRise,AnnualFlowSum,AnnualBarrageFlow,ThreeYearsBarrageFlow,HighReleaseWindowStart,HighReleaseWindowEnd,LowReleaseWindowStart,LowReleaseWindowEnd,PeakLevelWindowStart,PeakLevelWindowEnd,LowLevelWindowStart,LowLevelWindowEnd,NonFlowSpell,EggsDaysSpell,LarvaeDaysSpell,MinLevelRise,RateOfRiseMax1,RateOfRiseMax2,RateOfFallMin,RateOfRiseThreshold1,RateOfRiseThreshold2,RateOfRiseRiverLevel,RateOfFallRiverLevel,CtfThreshold,GaugeType,State,Catchment_BPRegion,SWSDLName,Latitude,Longitude,env_obj
0,PU_0000215,Mungindi to Boomi River Confluence,Barwon-Darling,Barwon River at Mungindi,416001,CF_a,7,6,,,,1,20.0,20.0,0.0,1.0,0.0,0.0,,F,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Barwon-Darling,Barwon-Darling Watercourse,-28.9762,148.9848,EF7+EF3b+EF1+NF4+EF4+EF3a+NF1+NF2+EF2+NF9+NF3+NF6+NF7+EF5+NF5+NF8+EF6
1,PU_0000215,Mungindi to Boomi River Confluence,Barwon-Darling,Barwon River at Mungindi,416001,CF_b,7,6,5.0,,,1,95.0,95.0,0.0,1.0,0.0,0.0,,F,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Barwon-Darling,Barwon-Darling Watercourse,-28.9762,148.9848,EF7+EF3b+EF1+NF4+EF4+EF3a+NF1+NF2+EF2+NF9+NF3+NF6+NF7+EF5+NF5+NF8+EF6
2,PU_0000215,Mungindi to Boomi River Confluence,Barwon-Darling,Barwon River at Mungindi,416001,CF_c,7,6,50.0,,,1,1.0,1.0,0.0,1.0,0.0,0.0,,F,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Barwon-Darling,Barwon-Darling Watercourse,-28.9762,148.9848,EF7+EF3b+EF1+NF4+EF4+EF3a+NF1+NF2+EF2+NF9+NF3+NF6+NF7+EF5+NF5+NF8+EF6
3,PU_0000215,Mungindi to Boomi River Confluence,Barwon-Darling,Barwon River at Mungindi,416001,VF_a,7,6,50.0,,,1,310.0,1.0,45.0,,,0.0,,F,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Barwon-Darling,Barwon-Darling Watercourse,-28.9762,148.9848,EF7+EF3b+EF1+NF4+EF4+EF3a+NF1+NF2+EF2+NF9+NF3+NF6+NF7+EF5+NF5+NF8+EF6
4,PU_0000215,Mungindi to Boomi River Confluence,Barwon-Darling,Barwon River at Mungindi,416001,VF_b,7,6,100.0,,,1,220.0,1.0,45.0,,,0.0,,F,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Barwon-Darling,Barwon-Darling Watercourse,-28.9762,148.9848,EF7+EF3b+EF1+NF4+EF4+EF3a+NF1+NF2+EF2+NF9+NF3+NF6+NF7+EF5+NF5+NF8+EF6
5,PU_0000215,Mungindi to Boomi River Confluence,Barwon-Darling,Barwon River at Mungindi,416001,BF1_a,7,6,50.0,,,1,220.0,1.0,160.0,,0.356164,0.0,,F,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Barwon-Darling,Barwon-Darling Watercourse,-28.9762,148.9848,EF7+NV4d+EF4+EF2+NV3+EF3a+NF6+NF7+NF5+EF6+EF1+EF5+NF9+NV1+NF4+EF3b+NV4e+NF1+NF2+NF3+NF8+NV4c
6,PU_0000215,Mungindi to Boomi River Confluence,Barwon-Darling,Barwon River at Mungindi,416001,BF1_b,7,6,100.0,,,1,110.0,1.0,160.0,,0.356164,0.0,,F,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Barwon-Darling,Barwon-Darling Watercourse,-28.9762,148.9848,EF7+NV4d+EF4+EF2+NV3+EF3a+NF6+NF7+NF5+EF6+EF1+EF5+NF9+NV1+NF4+EF3b+NV4e+NF1+NF2+NF3+NF8+NV4c
7,PU_0000215,Mungindi to Boomi River Confluence,Barwon-Darling,Barwon River at Mungindi,416001,BF2_a,9,3,50.0,,,1,145.0,1.0,160.0,,0.561644,0.0,,F,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Barwon-Darling,Barwon-Darling Watercourse,-28.9762,148.9848,NF4+NF1+NF2+NF3+NF6+NF7+NF5+NF8+NF9
8,PU_0000215,Mungindi to Boomi River Confluence,Barwon-Darling,Barwon River at Mungindi,416001,BF2_b,9,3,100.0,,,1,80.0,1.0,160.0,,0.561644,0.0,,F,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Barwon-Darling,Barwon-Darling Watercourse,-28.9762,148.9848,NF4+NF1+NF2+NF3+NF6+NF7+NF5+NF8+NF9
9,PU_0000215,Mungindi to Boomi River Confluence,Barwon-Darling,Barwon River at Mungindi,416001,SF1_S,7,6,100.0,,,1,10.0,10.0,540.0,,1.0,0.0,,F,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,NSW,Barwon-Darling,Barwon-Darling Watercourse,-28.9762,148.9848,EF7+WB3+NV4d+EF4+EF2+NV3+EF3a+NF6+NF7+NF5+WB1+EF6+EF1+WB2+EF5+NF9+NV1+NF4+EF3b+NV4e+WB5+NF1+NF2+NF3+NF8+NV4c+WB4
